"","response.docs.lead_paragraph"
"508","George Preti, an organic chemist who devoted his career to studying bodily odors and how they can be weaponized in detecting disease, died on March 3 in Hatboro, Pa. He was 75."
"509","Angie Copas has high blood pressure and asthma, and her job as clerk for the village of Mattoon, Wis., does not provide health insurance. For weeks, voters have streamed into her office to request or cast absentee ballots, and she has no protective equipment, sanitizer or disinfectant wipes."
"510","WASHINGTON — One of the hallmarks of the United States military is its ability to project power around the world, often under the banner of slogans intended to strike fear in its adversaries. “Ready to fight tonight” for U.S. troops in South Korea; “America’s 911” for the Marine Corps expeditionary units at sea; the list goes on."
"511","Police on Long Island were searching Wednesday for the photographer Peter Beard, known for creating elaborate collages from documentary images of Africa, after he disappeared on Tuesday afternoon from his home in Montauk, N.Y."
"512","WASHINGTON — Former Vice President Joseph R. Biden Jr. on Wednesday night called for moving the Democratic National Convention from mid-July to August, making him the most prominent member of his party to say the convention must be rescheduled because of the coronavirus outbreak."
"513","Every couple of days for the past few weeks, I have clambered onto my roof from the small patio on our second floor. I hoist up a pillow, our pet parrot Chobi in his cage, and a couple of beers or a glass of wine. Then I peer over the lip of the roof, and into the backyard of the house across the alleyway, where a friendly face is waiting."
"514","Every so often a moody British thriller, set in an impossibly idyllic village harboring dark secrets, is anointed the new “Broadchurch.”"
"515","MyKayla Skinner, a gymnast on the United States national team, fought to finish her workout."
"516","President Trump’s campaign is demanding that Jeff Sessions, the former Attorney General, stop attaching himself to the president in his effort to win back his old Senate seat in Alabama, after Mr. Sessions distributed a campaign mailer that mentioned the president 22 times."
"517","With arts organizations reeling from the impact of the coronavirus pandemic, and bracing for worse, the League of American Orchestras has chosen a new leader to help guide its field through a bruising period. The league announced on Friday that Simon Woods, a longtime orchestra administrator, would be its next chief executive."
"518","As meticulously cleaning our homes becomes a national pastime, it’s important to remember that many of the cleaning agents we use can be hazardous when used incorrectly. Spraying yourself or others with Lysol, or mixing cleaning products together, are just two examples of the countless ways to use your cleaning supplies incorrectly — and dangerously. Here are some guidelines to help keep you and your family safe."
"519","The U.S.N.S. Mercy, a Navy hospital ship, arrived at the Port of Los Angeles on Friday to bolster a health care system that officials worry could be overwhelmed by a surge in coronavirus patients."
"520","How many times have you seen the image? It looms behind newscasters during evening updates, gets handed out on printed fliers and scrolls by in tweet after tweet. It might even show up in your dreams."
"521","WASHINGTON — The Environmental Protection Agency warned Friday that disinfectants and sanitizers falsely claiming to protect against the coronavirus are flooding the market and threatened legal action against retailers that sell unregistered products."
"522","The voices of the dead tell the unhappy story of PLEASE SEE US (Gallery, 341 pp., $26.99), Caitlin Mullen’s spellbinding debut novel about a series of murders in Atlantic City. When the narrative opens, there are two dead women sprawled in the marsh behind the Sunset Motel. By the end of the story, there will be seven of these Jane Does, all victims of a killer who targets prostitutes, the most disposable of women."
"523","WASHINGTON — Tucked away in the $2 trillion coronavirus stabilization bill is a provision that allows Education Secretary Betsy DeVos to seek congressional approval to waive parts of the federal special education law while schools combat the coronavirus pandemic."
"524","Corona beer has become a temporary victim of the coronavirus."
"525","Three weeks into life under mandated social distancing, New Yorkers have been adjusting to this new reality by moving their social lives online."
"526","Most tattoo parlors do not feature live hand grenades and automatic weapons, but Joe Kintz’s first shop did. In 2006, when Kintz deployed to Habbaniyah, Iraq, as an explosive-ordnance-disposal technician with SEAL Team 5, he took his own tattoo kit with him and set up shop in a plywood-walled room filled with weapons and assault gear. Small ink bottles shared counter space with loaded magazines for handguns and rifles. “I probably did three tattoos a week there,” Kintz said. “Seemed like a good therapy session when you’re not out kicking in doors and shooting people.” His customers mainly were inked with SEAL Tridents, octopuses and platoon flags. “But it was 2006, so there was some tribal stuff, too, of course,” Kintz said with a laugh."
"527","People in Florida and elsewhere continued to travel widely during the week of March 23, potentially exposing more people to the coronavirus, phone data shows."
"528","When every other Democrat in America was swooning over Andrew Cuomo, Gina Raimondo was sparring with him."
"529","Every morning when Inna Keselman goes to work as a neurologist at the University of California, Los Angeles, she drops her 3-year-old son off at a day care center located on campus. It’s the same routine that she had before the Covid-19 pandemic."
"530","(Want to get this briefing by email? Here’s the sign-up.)"
"531","Data from the C.D.C. shows when patients who tested positive for coronavirus first started feeling symptoms, giving a clearer picture of the outbreak."
"532","“Slay the Dragon” begins with a subject that might seem counterintuitive for a documentary on gerrymandering: the Flint, Mich., water crisis. The movie lays out a timeline of state legislative actions that led to the decision that contaminated the city’s water supply. It persuasively argues that the crisis never would have happened without gerrymandering, which had allowed legislators to shield themselves from voters’ wrath."
"533","No one likes when their parent begins dating someone new, and Kareem Manning (Terrence Little Gardenhigh), the pint-size pseudo-policeman in the agonizingly humorless Netflix cop comedy “Coffee & Kareem,” is no exception. But his reaction to learning that his mother, Vanessa (Taraji P. Henson), is dating a loser cop (Ed Helms, who is also credited as a producer) — requesting that local drug dealers put a hit on his mom’s new boyfriend — might be considered fairly extreme. Now, that bumbling police officer, James Coffee, recently demoted to handling traffic after allowing a Detroit drug dealer (Ronreaco Lee) to get away during a sting operation, has to prove to Vanessa his worth both as a romantic partner and a possible father figure for her son. Additionally, Coffee must show that he’s more than a weak, poor, uncool white guy to the 12-year-old Kareem, who aspires to become a rapper and wears an outsized form of young braggadocio."
"534","WASHINGTON — Peter T. Gaynor, the federal government’s top emergency manager, was about to go on television last week to announce that he would use wartime production powers to ensure the manufacture of about 60,000 desperately needed coronavirus test kits."
"535","(Want to get this briefing by email? Here’s the sign-up.)"
"536","WASHINGTON — When oil prices crashed in early March after a dispute between Russia and Saudi Arabia, President Trump put a positive spin on the news. “Good for the consumer, gasoline prices coming down!” he wrote on Twitter as markets tumbled. On Tuesday, Mr. Trump said that falling gasoline prices amounted to “the greatest tax cut we’ve ever given.”"
"537","Faced with budget pressures and an invigorated gun control movement, the National Rifle Association has found a new cause amid the pandemic — fighting to keep gun stores open as its fund-raising appeals depict the government’s coronavirus response as a threat to Second Amendment rights."
"538","WASHINGTON — The Environmental Protection Agency warned Friday that disinfectants and sanitizers falsely claiming to protect against the coronavirus are flooding the market and threatened legal action against retailers that sell unregistered products."
"539","Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher"
"540","Last week, the U.S. Senate approved a $2.2 trillion coronavirus stimulus package. It includes many important elements, such as expanded unemployment benefits, and emergency aid for small businesses and hospitals hit hard by the crisis. This is a step in the right direction, but it is not enough."
"541","Since most of the nation began living in coronavirus quarantine, retail wine sales have shot up. In the latest data available, wine sales in dollars were up 66 percent in the week ending March 21, from the same week a year ago, according to Nielsen."
"542","The voices of the dead tell the unhappy story of PLEASE SEE US (Gallery, 341 pp., $26.99), Caitlin Mullen’s spellbinding debut novel about a series of murders in Atlantic City. When the narrative opens, there are two dead women sprawled in the marsh behind the Sunset Motel. By the end of the story, there will be seven of these Jane Does, all victims of a killer who targets prostitutes, the most disposable of women."
"543","The arts-and-crafts chain Hobby Lobby was accused of defying stay-at-home orders in at least four states during the coronavirus outbreak, prompting officials to take action against the retailer."
"544","The Rev. Joseph A. O’Hare, who as the longest-serving president of Fordham University transformed it into a national institution and applied the moral rectitude of his clerical collar to civic reform in New York City, died on Sunday in the Bronx. He was 89."
"545","It was just before 8 a.m. on March 19 when Alexondra Purnomo, a schoolteacher in Rome, decided that all rules were off. She was under coronavirus lockdown, but it was her birthday."
"546","The United States now leads the world by many measures of the coronavirus outbreak, whether it’s a dubious distinction like the largest number of confirmed cases or a more positive one, like total coronavirus tests."
"547","This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday."
"548","[This briefing has ended. For the latest updates on the coronavirus outbreak in the New York area, read Friday’s live coverage.]"
"549","MEXICO CITY — There were major hurricanes, and the global financial crisis of 2008. There was 9/11, and an array of regional health scares, from SARS to Zika."
"550","New data released by the city shows that lower-income neighborhoods have been most affected by the virus."
"551","Facing criticism for furloughing workers after it was granted $25 million in federal coronavirus relief funding, the John F. Kennedy Center for the Performing Arts on Tuesday defended its need for the bailout and outlined its plans for the money."
"552","Has your school shifted to remote learning in response to the coronavirus pandemic? Do you have a dedicated space for learning in your home? What does it look like? What things have you included to help you learn and make your space comfortable? Do you like working there? Why or why not?"
"553","(Want to get this briefing by email? Here’s the sign-up.)"
"554","This briefing is no longer updating. Read the latest developments in the coronavirus outbreak here."
"555","Hi. Welcome to On Politics, your guide to the day in national politics. I’m Lisa Lerer, your host."
"556","The super PAC supporting President Trump’s re-election is planning a $10 million advertising spree to attack former Vice President Joseph R. Biden Jr. in three Rust Belt states that were crucial to the president’s 2016 victory, officials with the group said on Wednesday."
"557","An analysis of Google search data suggests that last week’s unemployment claims could surpass 5 million."
"558","President Trump reading his notes at Wednesday’s coronavirus briefing at the White House."
"559","WASHINGTON — President Trump warned Iran on Wednesday against using its proxy forces to attack American troops, vowing to retaliate by going “up the food chain,” a hint that the American military was considering a more direct strike on Iranian forces."
"560","MANILA — The fishing is best on nights like this when the moon is a sliver in the sky, and at midnight in the Philippines’ largest fishing port, the atmosphere was frenetic."
"561","If you’re Tom Brady, you suddenly need a place to live in the Tampa area. And if you’re Tom Brady, a one-bedroom is probably not an option."
"562","The new normal still doesn’t feel normal, exactly. But judging from conversations with friends and family, a lot of us are starting to settle into some kind of routine. If yours includes reading — and I hope it does — might we suggest these recent books?"
"563","For this week’s roundup of student comments on our writing prompts, we asked teenagers if they thought public preschool should be a right, what they are doing to stay healthy and sane during the pandemic, and to share stories, poems and memoirs about being trapped inside."
"564","Mayor Bill de Blasio of New York called me this morning a little out of breath, feet pounding in the background, on his daily walk in Prospect Park. It’s the kind of stubbornly pointless personal ritual his critics in the media find incredibly annoying — couldn’t he just stay home at Gracie Mansion and clap for health care workers like his neighbors?"
"565","Want this in your inbox each morning? Sign up here."
"566","Featured Article: “D.I.Y. Coronavirus Solutions Are Gaining Steam” "
"567","PARIS — When France started shutting down a few weeks ago as the coronavirus marched relentlessly into the country, Dominique Paul feared disaster. His family’s white-glove catering company, Groupe Butard, halted operations, putting 190 jobs at risk."
"568","Here is the March edition of Teenagers in The Times, a roundup of the news and feature stories about young people that have recently appeared across sections of NYTimes.com. We publish a new edition on the first Thursday of each month."
"569","SAN FRANCISCO — After a crush of travel cancellations in March, WanderJaunt, a short-term home rental start-up in San Francisco, laid off 56 of its 240 employees last week."
"570","It’s been 20 years since Anthony Bourdain published his best-selling memoir “Kitchen Confidential,” with its solemn warning: Never order fish on Mondays."
"571","WASHINGTON — Former Vice President Joseph R. Biden Jr. on Wednesday night called for moving the Democratic National Convention from mid-July to August, making him the most prominent member of his party to say the convention must be rescheduled because of the coronavirus outbreak."
"572","Every couple of days for the past few weeks, I have clambered onto my roof from the small patio on our second floor. I hoist up a pillow, our pet parrot Chobi in his cage, and a couple of beers or a glass of wine. Then I peer over the lip of the roof, and into the backyard of the house across the alleyway, where a friendly face is waiting."
"573","MyKayla Skinner, a gymnast on the United States national team, fought to finish her workout."
"574","President Trump’s campaign is demanding that Jeff Sessions, the former Attorney General, stop attaching himself to the president in his effort to win back his old Senate seat in Alabama, after Mr. Sessions distributed a campaign mailer that mentioned the president 22 times."
"575","“No, honey! You can’t hug Daddy yet!” I frantically tell my 5-year-old son, grabbing him just in time as he runs toward our front door to welcome his father home from work. “He has to wash the bad germs off first, OK?”"
"576","In Australia, the authorities have threatened people sitting alone drinking coffee with six months of jail; in the Philippines, President Rodrigo Duterte ordered the police to shoot anyone who “causes commotion” after protesters demanded food."
"577","At Office Depot, employees have been told that they cannot wear masks in the store. Some Walgreens workers say they were also discouraged from wearing them. Many other large retailers, including Target, have started to allow masks, but are leaving it up to employees to procure their own supplies."
"578","WASHINGTON — One of the hallmarks of the United States military is its ability to project power around the world, often under the banner of slogans intended to strike fear in its adversaries. “Ready to fight tonight” for U.S. troops in South Korea; “America’s 911” for the Marine Corps expeditionary units at sea; the list goes on."
"579","In recent weeks, as schools, businesses, support groups and millions of individuals have adopted Zoom as a meeting platform in an increasingly remote world, reports of “Zoombombing” or “Zoom raiding” by uninvited participants have become frequent."
"580","As meticulously cleaning our homes becomes a national pastime, it’s important to remember that many of the cleaning agents we use can be hazardous when used incorrectly. Spraying yourself or others with Lysol, or mixing cleaning products together, are just two examples of the countless ways to use your cleaning supplies incorrectly — and dangerously. Here are some guidelines to help keep you and your family safe."
"581","President Trump’s campaign is demanding that Jeff Sessions, the former Attorney General, stop attaching himself to the president in his effort to win back his old Senate seat in Alabama, after Mr. Sessions distributed a campaign mailer that mentioned the president 22 times."
"582","Facing criticism for furloughing workers after it was granted $25 million in federal coronavirus relief funding, the John F. Kennedy Center for the Performing Arts on Tuesday defended its need for the bailout and outlined its plans for the money."
"583","WASHINGTON — One of the hallmarks of the United States military is its ability to project power around the world, often under the banner of slogans intended to strike fear in its adversaries. “Ready to fight tonight” for U.S. troops in South Korea; “America’s 911” for the Marine Corps expeditionary units at sea; the list goes on."
"584","Tenzing Chime now has one job to do at the vegetable stand where he works, a measure of how much the coronavirus has changed the simplest rituals of neighborhood life."
"585","Every couple of days for the past few weeks, I have clambered onto my roof from the small patio on our second floor. I hoist up a pillow, our pet parrot Chobi in his cage, and a couple of beers or a glass of wine. Then I peer over the lip of the roof, and into the backyard of the house across the alleyway, where a friendly face is waiting."
"586","“No, honey! You can’t hug Daddy yet!” I frantically tell my 5-year-old son, grabbing him just in time as he runs toward our front door to welcome his father home from work. “He has to wash the bad germs off first, OK?”"
"587","In Australia, the authorities have threatened people sitting alone drinking coffee with six months of jail; in the Philippines, President Rodrigo Duterte ordered the police to shoot anyone who “causes commotion” after protesters demanded food."
"588","Before writing her new movie, “Never Rarely Sometimes Always,” about the odyssey of a 17-year-old girl in present-day Pennsylvania seeking a legal abortion, the director Eliza Hittman embarked on a journey of her own. Hittman makes movies of quietly operatic intensity about vulnerable characters in unremarkable places. To find their narratives, she begins in the field, exploring prospective locations like a sculptor wandering a quarry."
"589","CHICAGO — My mother believes that God and the Chinese Communist Party will defeat the novel coronavirus."
"590","New York City has already set up 45 new mobile morgues. Local crematories are now allowed to work around the clock. At one Brooklyn hospital, the in-house morgue was filled to capacity on Tuesday. The next day, the nursing staff ran out of body bags."
"591","What story does this image inspire for you?"
"592","Theater, at its simplest, requires an actor and an audience. And in this strange moment, that’s a very tall order. Scripts are available, of course, and filmed performance, too. But if you are missing not only plays themselves, but the ephemera that surrounds them — the cramped seats and the rustling wrappers, the marquee lights and the scrum at the stage door — you might lose yourself in a novel of the theater, instead."
"593","When your car breaks down, you either know how to fix it or how to find someone who can. Emotions, on the other hand, are a little harder to fix. There is no wrench you can grab or repair shop you can take your feelings to. But you do have one tool in your kit you can always use: talking about your feelings. Even just speaking about your feelings out loud to another person can help. So why do we avoid it or believe it doesn’t work?"
"594","WASHINGTON — It was a send-off for the ages, with hundreds of sailors aboard the aircraft carrier Theodore Roosevelt cheering Capt. Brett E. Crozier, the commander who sacrificed his naval career by writing a letter to his superiors demanding more help as the novel coronavirus spread through the ship."
"595","WASHINGTON — The Navy removed the captain of the stricken aircraft carrier Theodore Roosevelt on Thursday, only days after he implored his superior officers for more help as a coronavirus outbreak spread aboard the ship."
"596","This briefing has ended. Read our global live coverage on the coronavirus pandemic here."
"597","After 22 days in the hospital, fighting for his life, Mark Frilot is going home."
"598","To hear more audio stories from publishers, like The New York Times, download Audm for iPhone or Android."
"599","A vaccine that was developed a hundred years ago to fight the tuberculosis scourge in Europe is now being tested against the coronavirus by scientists eager to find a quick way to protect health care workers, among others."
"600","I’m awake before my alarm goes off. I make coffee, wash my face and put deodorant on twice. The deodorant is never enough to stop the sweat and smell, but I try. My husband and kids are still asleep. I try to eat. My stomach turns as I imagine what today will bring, though of course I know. It’s always variations on the same theme: Critically ill patients who all have been given the same diagnosis, Covid-19."
"601","Across cooking shows and talent competitions, murder mysteries and political satire, British television has earned a reputation for quality. With streaming sites competing for viewers, and many of us at home with more time on our hands, it’s never been easier to find and watch the best of it."
"602","Theater, at its simplest, requires an actor and an audience. And in this strange moment, that’s a very tall order. Scripts are available, of course, and filmed performance, too. But if you are missing not only plays themselves, but the ephemera that surrounds them — the cramped seats and the rustling wrappers, the marquee lights and the scrum at the stage door — you might lose yourself in a novel of the theater, instead."
"603","I’m awake before my alarm goes off. I make coffee, wash my face and put deodorant on twice. The deodorant is never enough to stop the sweat and smell, but I try. My husband and kids are still asleep. I try to eat. My stomach turns as I imagine what today will bring, though of course I know. It’s always variations on the same theme: Critically ill patients who all have been given the same diagnosis, Covid-19."
"604","At the end of seven hours in mask, gown and gloves at Bellevue Hospital Center on Monday, Dr. Richard Levitan finally had a chance to look at his phone."
"605","To hear more audio stories from publishers, like The New York Times, download Audm for iPhone or Android."
"606","After 22 days in the hospital, fighting for his life, Mark Frilot is going home."
"607","This briefing has ended. Read our global live coverage on the coronavirus pandemic here."
"608","When your car breaks down, you either know how to fix it or how to find someone who can. Emotions, on the other hand, are a little harder to fix. There is no wrench you can grab or repair shop you can take your feelings to. But you do have one tool in your kit you can always use: talking about your feelings. Even just speaking about your feelings out loud to another person can help. So why do we avoid it or believe it doesn’t work?"
"609","WASHINGTON — It was a send-off for the ages, with hundreds of sailors aboard the aircraft carrier Theodore Roosevelt cheering Capt. Brett E. Crozier, the commander who sacrificed his naval career by writing a letter to his superiors demanding more help as the novel coronavirus spread through the ship."
"610","WASHINGTON — The Navy removed the captain of the stricken aircraft carrier Theodore Roosevelt on Thursday, only days after he implored his superior officers for more help as a coronavirus outbreak spread aboard the ship."
"611","A staggering 6.6 million people applied for unemployment benefits last week as the coronavirus outbreak ravaged nearly every corner of the American economy, the Labor Department reported Thursday."
"612","What story does this image inspire for you?"
"613","I’m awake before my alarm goes off. I make coffee, wash my face and put deodorant on twice. The deodorant is never enough to stop the sweat and smell, but I try. My husband and kids are still asleep. I try to eat. My stomach turns as I imagine what today will bring, though of course I know. It’s always variations on the same theme: Critically ill patients who all have been given the same diagnosis, Covid-19."
"614","At the end of seven hours in mask, gown and gloves at Bellevue Hospital Center on Monday, Dr. Richard Levitan finally had a chance to look at his phone."
"615","This obituary is part of a series about people who have died in the coronavirus pandemic. Read about others here."
"616","There’s no getting around it: Most of us won’t be traveling for a good, long while. There are certainly more pressing concerns — personal health, supply lines, stocking the pantry, caring for the children — but the anticipation and inner peace of an upcoming vacation, a family gathering, or a trip abroad have now disappeared, and who knows for how long. It’s neither safe nor (increasingly) possible to visit Norway or Brazil or France or anywhere else when you’re stuck in your home."
"617","Thanks to my tried-and-true farm share, the root vegetables in my pantry have been piling up lately, threatening to overtake the pasta. So, I decided that now was a good time to roast some carrots and sweet potatoes for lunch, along with some canned chickpeas because they all go so well together. Hearty, comforting, easy — and very flavorful thanks to a creamy, garlicky, cumin-spiked yogurt — it was just what I needed to keep supplies in check."
"618","Grants, low-interest loans and other government support might seem like manna for businesses under financial strain. But some chief executives and corporate boards might balk at the offer of billions of dollars in aid to help them ride out the coronavirus pandemic and keep the economy from sliding into a deep recession."
"619","Bread baking is a journey, and an extremely rewarding one at that. With each loaf, you’ll watch your skills grow and develop, and you’ll gain a keen understanding of the process. As you get better, you’ll know what to look for, and how to read your dough’s cues (it’s alive, after all!)."
"620","Hello, fellow film lovers!"
"621","At least 88 pro-government forces and 16 civilians were killed in Afghanistan during the past week. The deadliest attack took place in Badghis Province, where the Taliban attacked security outposts in Qala-e-Naw, the provincial capital, killing 13 local police officers and taking eight others prisoner. Local officials claimed that two Taliban fighters were also killed in the battle, and the insurgents captured one of the outposts and seized the weapons and equipment inside. In Samangan Province, the Taliban attacked the Pusqul area of Dara-e-Suf Bala District, killing nine pro-government militia members and wounding nine others before capturing the outpost and seizing the equipment."
"622","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"623","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"624","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"625","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"626","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"627","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"628","A detailed county map shows the extent of the coronavirus outbreak, with tables of the number of cases by county. "
"629","Experts have long been eyeing Florida as a ticking time bomb in the coronavirus pandemic, because it has so many older residents (a quarter of the population is over 60), and it gets so many visitors from around the world (125 million annually), especially at this time of year."
"630","The Centers for Disease Control and Prevention advised all Americans — even people who appear to be healthy — to cover their face with a mask or a scarf when they leave home to help slow the spread of the coronavirus in the United States."
"631","At least 88 pro-government forces and 16 civilians were killed in Afghanistan during the past week. The deadliest attack took place in Badghis Province, where the Taliban attacked security outposts in Qala-e-Naw, the provincial capital, killing 13 local police officers and taking eight others prisoner. Local officials claimed that two Taliban fighters were also killed in the battle, and the insurgents captured one of the outposts and seized the weapons and equipment inside. In Samangan Province, the Taliban attacked the Pusqul area of Dara-e-Suf Bala District, killing nine pro-government militia members and wounding nine others before capturing the outpost and seizing the equipment."
"632","INVISIBLE LIFE (2019) Stream on Amazon. Two inseparable sisters are torn apart in “Invisible Life,” a drama from the Brazilian director Karim Aïnouz. Based on a popular novel by Martha Batalha and set in early 1950s Rio de Janeiro, the film begins by introducing the siblings, their tight relationship and their differing desires. Guida (Julia Stockler) has fallen for a Greek sailor; Eurídice (Carol Duarte) wants to pursue a career as a pianist. Then Guida elopes, Eurídice is pushed to marry and it becomes unclear whether the sisters will ever see each other again. That separation is largely due to their father, who lies to keep them apart. The film won the Un Certain Regard award at the Cannes Film Festival last year, and has done well with critics. In his review for The New York Times, Glenn Kenny called it “a modern melodrama that’s proud to be one,” adding that the film’s “mix of vivid period detail and raw frankness about sexuality and poverty and women’s oppression is heady and bracing; its depiction of female friendship and love is pointedly ferocious.”"
"633","When it became clear last month that former Vice President Joseph R. Biden Jr. would almost certainly win the Democratic nomination, many of the progressive Democrats who supported other presidential candidates were disappointed but not deterred. They quickly shifted their electoral focus to candidates lower on the ballot."
"634","The recent misfortune of American businesses — many of which are struggling to raise cash to stay afloat — is creating new moneymaking opportunities for hedge funds and private equity firms, big investors that have been relatively unscathed by the pandemic."
"635","Making sense of the coronavirus pandemic requires getting up to speed on semantics as much as epidemiology."
"636","The first Saturday in March now seems like a decade ago. New Yorkers were not yet sheltering at home to slow the spread of the coronavirus, and on that night Franca Vercelloni was more immediately concerned with taming the noisy crowd at Marie’s Crisis, the storied Greenwich Village piano bar known for show-tune singalongs."
"637","The music of Bill Withers radiated a quality that’s rare in pop songs and, really, anywhere else: selflessness."
"638","If a sea lion claps at the Bronx Zoo, and no one is around to hear it, does it make a sound?"
"639","A month ago, Nick Stone had a $50 million coffee business, with dozens of cafes in bustling downtowns."
"640","Long before he began feeding his obsession and even found himself sitting next to its hosts, Rui Hachimura didn’t understand all the fuss about the Japanese reality television show “Terrace House.” His high school teammates in Japan had tried hard to get him on board."
"641","“I’m not sure if I should go to dance class,” my niece said. This was on March 14, when it still seemed possible that life could return to normal. She is in middle school and has gone to the same Saturday dance class for nearly a decade. She spoke casually, but we knew what she meant. She wasn’t sure, for the first time, whether it was safe."
"642","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together."
"643","In 1769, a cargo ship laden with flour, pork and English goods set sail from Salem, Mass., headed to Portland, Maine."
"644","Baseball has always spoken to Tyler Kapuscinski. Growing up in Marlboro, N.J., he wrote school papers on Mickey Mantle, his father’s baseball idol, and found his own footing in the batter’s box."
"645","OBERAMMERGAU, Germany — There is no doubt in the mind of the Rev. Thomas Gröner that what happened in his village was a miracle."
"646","My sister, who lives in London, has been passing lockdown time going through old slides of my father’s, discovered last year. Every now and then she sends me a grainy or mildewed photograph, a message in a bottle from across the ocean. The pandemic has prompted a universal time of reflection. The past, more present, is the new field of exploration, absent movement."
"647","SEATTLE — Providers of health care in the nation’s poorest neighborhoods are used to toiling below the radar, treating chronic diseases and other ravages of poverty in places many Americans never see."
"648","This briefing is no longer updating. Read the latest developments in the coronavirus outbreak here."
"649","WASHINGTON — Top Democratic lawmakers have urged Treasury Secretary Steven Mnuchin to quickly provide American airlines with direct payroll assistance and to avoid insisting on overly restrictive terms that could deter companies from taking the money."
"650","Jason Hargrove was furious."
"651","On March 11, Dr. Miguel David De Leon — a vitreoretinal surgeon in Mindanao, the southern island of the Philippines — worked a full morning at the medical center. When he got home, “I was exhausted,” he said. But he pulled it together, lugged his camera an hour uphill and clambered into his bird hide."
"652","K’Andre Miller, a top prospect for the Rangers, was repeatedly subjected to a racial slur when a team-sponsored online video chat was hacked on Friday."
"653","New York, the increasingly battered epicenter of the nation’s coronavirus outbreak, on Friday reported its highest number of deaths in a single day, prompting state officials to beg the rest of the United States for assistance and to enact an emergency order designed to stave off medical catastrophe."
"654","After initially downplaying the potential severity of the coronavirus pandemic and sharing false and misleading information, President Trump has changed his position on key aspects of the crisis. Here are five examples."
"655","An article on Friday about President Trump’s support for a possible oil deal between Saudi Arabia and Russia misstated the amount of the recent stimulus package. It was $2.2 trillion, not $2.2 billion."
"656","Nearly everyone who survived the 1918 flu pandemic, which claimed at least half a million American lives, has since died. But their memories, preserved in oral history interviews, shed light on its indelible impact. Bustling major cities and rural towns were brought to their knees, as transportation, law enforcement, commerce and civic life were wiped out."
"657","A surge in coronavirus deaths in the United States has prompted the vast majority of governors to order their residents to stay home, but a small number of states are resisting increasingly urgent calls to shut down."
"658","PUNS AND ANAGRAMS — Most of the Puns and Anagrams puzzles we get now are from Andrew J. Ries, who does a bang-up job with them, but I was happy to see the addition of Andy Kravis to the mix. He and another constructor, Natan Last, run a class at the Jewish Association Serving the Aging that teaches crossword construction and produces occasional daily crossword grids for the Times that are always hilarious and quirky. Today’s puzzle has some class-clown elements that make me think of those puzzles, and Mr. Kravis."
"659","The list of presidential failures is long and varied. But when it comes to failure in the face of an external force — a natural disaster or an economic meltdown — it is difficult to find anything as catastrophic as President Trump’s handling of the coronavirus outbreak, even at this early stage of the crisis."
"660","Jan. 19, 2025"
"661","Before the coronavirus crisis gets better, it will get worse: more death, more economic pain — and therefore more need for Congress to adopt relief measures for the American people."
"662","To the Editor:"
"663","Here is an email from a woman in Alabama to Katie Rosenfeld, a civil rights lawyer in New York, pleading for help for a loved one incarcerated inside an Alabama state prison where the coronavirus is beginning to spread:"
"664","People who are presumed to have coronavirus are being asked to self-quarantine. Medical workers need to take special precautions when coming home from work at the end of the day. For parents of young children, these scenarios create new challenges at home. If you have had to separate from your family, or if you live with someone who has, we want to hear your story. "
"665","One out of every six New York City police officers is out sick or in quarantine. A veteran detective and seven civilian workers have died from the disease caused by the coronavirus. And two chiefs and the deputy commissioner in charge of counterterrorism are among more than 1,500 others in the department who have been infected."
"666","Name: Akil Loving"
"667","NEW DELHI — Ana Pautler, a trekker from San Francisco, was partway up a Himalayan mountain trail in Nepal when she noticed something peculiar: People were turning around."
"668","SYDNEY, Australia — Dozens of people are missing and feared dead in the Solomon Islands after being washed from a ferry making a dangerous journey through heaving seas caused by Cyclone Harold."
"669","Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher"
"670","WASHINGTON — President Trump on Friday nominated Judge Justin Walker, a protégé of Senator Mitch McConnell, to a vacancy on the influential United States Court of Appeals for the District of Columbia Circuit, touching off what is likely to be a contentious confirmation fight in the Senate."
"671","WASHINGTON — President Trump said on Friday that the Centers for Disease Control and Prevention was urging all Americans to wear a mask when they leave their homes, but he immediately undercut the message by repeatedly calling the recommendation voluntary and promising that he would not wear one himself."
"672","Here are more than two dozen recipes to cook in the slow cooker while you’re doing other things — or nothing at all! You could make white bean Parmesan soup (above), chicken tortellini tomato soup, BBQ pulled pork, or any of the recipes in the collection below."
"673","As the virus continues to spread throughout the nation, an analysis of cellphone data shows that those in the wealthiest areas have been able to reduce their movements more than those in the poorest areas."
