"","response.docs.lead_paragraph"
"1055","Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via Spotify | Via Stitcher"
"1056","The HPV vaccine is highly effective against the cancer-causing types of human papillomavirus, but only half of teenagers and young adults have gotten all three of the doses recommended by the Centers for Disease Control and Prevention. Now a new study in women ages 18 to 26 suggests that one shot might be enough."
"1057","If you have flooring you don’t like — whether it’s carpet, vinyl or unappealing wood — it can feel like there’s no way to escape it, no matter how many rugs you pile on top. But if you have floors you love, walking across them can be a daily pleasure."
"1058","A few months ago, on a Megabus ride into New York from Philadelphia, my assigned seat was the front row of the bus’s upper level, providing an overwhelming panoramic view of the pavement ahead of us — like one of those 3-D IMAX experiences, except instead of being about volcanoes or sharks, it was about the slow crawl along I-95 into the dense web of Manhattan. Like most IMAX movies, this one made me nauseated about five minutes in. Rifling through my backpack for some headphones to distract myself, I found, instead, a small white pack of ginger gum that I bought on a whim months before."
"1059","DEAR EDWARDBy Ann Napolitano"
"1060","Earth has had many run-ins with space rocks. They’ve triggered the demise of the dinosaurs 66 million years ago, lit up daytime skies over Russia in thousands of dash cam videos and even struck a human."
"1061","$6.6 MILLION"
"1062","Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via Spotify | Via Stitcher"
"1063","Even as Boeing inches closer to getting the 737 Max back in the air, new problems with the plane are emerging that go beyond the software that played a role in two deadly crashes."
"1064","“The Republican Party is not a monolithic entity.”"
"1065","These graphs and map, which show the change in the past 48 years in the bird population by habitat for the United States and Canada, appeared elsewhere on NYTimes.com."
"1066","The United States may be headed into a bad flu season, according to figures recently released by the Centers for Disease Control and Prevention. "
"1067","The evidence mounted all year. Temperature records were broken in France, Germany and elsewhere; the Greenland ice sheet experienced exceptional melting; and, as 2019 came to a close, broiling temperatures contributed to devastating wildfires that continue in Australia."
"1068","Bioluminescence might seem uncommon, even alien. But biologists think organisms evolved the ability to light up the dark as many as 50 different times, sending tendrils of self-powered luminosity coursing through the tree of life, from fireflies and vampire squids to lantern sharks and foxfire, a fungus found in rotting wood."
"1069","Reading Garth Greenwell’s new book, “Cleanness,” you might sense a bit of déjà vu."
"1070","The Duke and Duchess of Sussex made a big and hasty announcement this week that caught the world by surprise — even as it was months in the making. Here’s what we know so far. "
"1071","Elizabeth Wurtzel, whose startling 1994 memoir, “Prozac Nation: Young and Depressed in America,” won praise for opening a dialogue about clinical depression and helped introduce an unsparing style of confessional writing that remains influential, died on Tuesday in Manhattan. She was 52."
"1072","What social media do you use? Do you have accounts on Instagram, Twitter, Facebook or TikTok? Do you post a lot of your own content? Do you repost others’ content? Or, do you prefer just observing what friends, influencers or celebrities are doing? "
"1073","A Connecticut man pleaded guilty this week to a series of hoaxes, including sending a letter with white powder threatening to kill President Trump."
"1074","Featured Article: “The City That Cycles With the Young, the Old, the Busy and the Dead” "
"1075","No matter how much free time you have this weekend, we have TV recommendations for you. Come back every week for new suggestions on what to watch."
"1076","Kansas’ Democratic governor said on Thursday that she had reached a deal with Republicans who control the Legislature to expand Medicaid under the Affordable Care Act. If lawmakers approve the plan in the coming weeks, it would end years of wrangling over the issue in a state that has endured a series of rural hospital closures. "
"1077","One potential juror said she had a friend who had “an encounter” with the film producer Harvey Weinstein, without giving details. "
"1078","It has been on a steep upward trajectory for years, and in 2019, it finally happened."
"1079","ALBANY, N.Y. — A rainbow-colored Arc of the Moral Universe. The Burr-Hamilton duel. An octopus called Intolerance. "
"1080","SEATTLE — On the lumbering journey through squally seas off the Alaska Peninsula, most of the seven crab fishermen aboard the Scandies Rose were resting in bunks on New Year’s Eve when the boat suddenly began listing to the starboard side."
"1081","SAN FRANCISCO — Defying pressure from Congress, Facebook said on Thursday that it would continue to allow political campaigns to use the site to target advertisements to particular slices of the electorate and that it would not police the truthfulness of the messages sent out."
"1082","Cassidee Dabney has one of the more coveted jobs in her field: executive chef of the Barn at Blackberry Farm, an award-winning restaurant, both luxurious and deeply connected to the land, in the foothills of the Smoky Mountains of Tennessee."
"1083","SYDNEY, Australia — When Tanya Latty, an entomologist at the University of Sydney, started studying a species of velvet worm 18 months ago, she thought it was just a side project. "
"1084","MONTREAL — There was the family of a prominent Iranian writer who had emigrated to Canada a few years ago. There was a newlywed couple. And there were international students and children. "
"1085","President Trump’s assassination of Maj. Gen. Qassim Suleimani, the head of Iran’s intelligence and security services, has pushed foreign policy to center stage in the Democratic primary race for president."
"1086","Take the most combustible, scarred, dysfunctional relationship the United States has with any country in the world and place it in the hands of an impulsive, ignorant, bullying American leader and you are likely to sleepwalk to the brink of war. That is what just happened with President Trump and Iran. It was no surprise. He has been fiddling with this grenade since he took office."
"1087","No matter how much free time you have this weekend, we have TV recommendations for you. Come back every week for new suggestions on what to watch."
"1088","Kansas’ Democratic governor said on Thursday that she had reached a deal with Republicans who control the Legislature to expand Medicaid under the Affordable Care Act. If lawmakers approve the plan in the coming weeks, it would end years of wrangling over the issue in a state that has endured a series of rural hospital closures. "
"1089","It has been on a steep upward trajectory for years, and in 2019, it finally happened."
"1090","The mood in Tehran was tense on Wednesday morning when Ukraine International Flight 752 took off, bound for Kyiv. Just hours earlier, Iran had fired missiles at two bases in Iraq that house United States troops, and Iranian forces were on alert for an American counterstrike."
"1091","Why aren’t all the president’s men testifying?"
"1092","Much of the work of H.P. Lovecraft, an American horror and science fiction writer who worked during the first decades of the 20th century, is defined by individual encounters with the incomprehensible, with sights, sounds and ideas that undermine and disturb reality as his characters understand it. Faced with things too monstrous to be real, but which exist nonetheless, Lovecraftian protagonists either reject their senses or descend into madness, unable to live with what they’ve learned."
"1093","I can’t quite remember the moment when I became radicalized about protecting the environment and the planet, but it happened last year. That’s late in life, I know. At 49 years old, it is very possible and even likely that I have more years behind me than in front of me, but that is when it happened."
"1094","On Monday, Facebook announced a new policy to ban artificial intelligence-generated “deepfakes” as well as videos “edited or synthesized … in ways that aren’t apparent to an average person.” In theory that sounds like a welcome effort to curb disinformation."
"1095","WASHINGTON — The alert came to the White House shortly after 2 p.m. on Tuesday, a flash message from American spy agencies that officials sometimes call a “squawk.” In the coming hours, it warned, an Iranian attack on American troops was almost certain."
"1096","Why aren’t all the president’s men testifying?"
"1097","On Monday, Facebook announced a new policy to ban artificial intelligence-generated “deepfakes” as well as videos “edited or synthesized … in ways that aren’t apparent to an average person.” In theory that sounds like a welcome effort to curb disinformation."
"1098","Much of the work of H.P. Lovecraft, an American horror and science fiction writer who worked during the first decades of the 20th century, is defined by individual encounters with the incomprehensible, with sights, sounds and ideas that undermine and disturb reality as his characters understand it. Faced with things too monstrous to be real, but which exist nonetheless, Lovecraftian protagonists either reject their senses or descend into madness, unable to live with what they’ve learned."
"1099","I can’t quite remember the moment when I became radicalized about protecting the environment and the planet, but it happened last year. That’s late in life, I know. At 49 years old, it is very possible and even likely that I have more years behind me than in front of me, but that is when it happened."
"1100","A day after President Trump backed away from further military conflict with Iran, a commander of the country’s Islamic Revolutionary Guards Corps declared that Iran would soon take “harsher revenge” on the United States for a drone strike last week that killed a top Iranian general. But another Iranian military leader said his country’s missile attacks targeting Americans in Iraq this week had not been intended to kill anyone. "
"1101","The numbers that usually glow with exchange rates on Travelex boards in airports worldwide have gone dark, after the London-based currency exchange company was forced to go offline after it discovered a ransomware attack on Dec. 31. "
"1102","Vaccines prevent diseases, and being unvaccinated carries a risk. Last year, the World Health Organization ranked vaccine hesitancy, a “reluctance or refusal to vaccinate despite the availability of vaccines,” among the top 10 health threats worldwide, alongside Ebola, H.I.V. and drug-resistant infections. "
"1103","THE PASSION ECONOMY: The New Rules for Thriving in the Twenty-First Century, by Adam Davidson, read by the author. (Random House Audio.) The creator of NPR’s “Planet Money” podcast argues that hope is not lost for the middle class, but the paths to success have changed."
"1104","A 1940 colonial in Bennington, Vt.; a 1925 clapboard house in Mankato, Minn.; and a 1938 home in Reading, Pa."
"1105","A classified briefing on the Iran crisis from Trump administration officials on Wednesday did little to convince Democrats that the killing of Maj. Gen. Qassim Suleimani was justified, and some Republicans were unhappy about the White House’s failure to include lawmakers in the decision-making process."
"1106","A little more than a decade ago, a pair of Harvard Business School students founded Rent the Runway, a platform for renting special-occasion evening wear that has since expanded to all kinds of wear: leopard-print blazers, bright red ski pants, Swarovski crystal necklaces and leather fanny packs."
"1107","A 1940 colonial in Bennington, Vt.; a 1925 clapboard house in Mankato, Minn.; and a 1938 home in Reading, Pa."
"1108","THE PASSION ECONOMY: The New Rules for Thriving in the Twenty-First Century, by Adam Davidson, read by the author. (Random House Audio.) The creator of NPR’s “Planet Money” podcast argues that hope is not lost for the middle class, but the paths to success have changed."
"1109","TORONTO — “You take such good care of your hands,” Daniel Levy marveled as he waited for the director to call “action.”"
"1110","In 2018, the curator Francisco Berzunza invited the South African artist Pieter Hugo to Mexico to create a body of work that would engage with themes of sexuality and death for an exhibition at the Centro Fotográfico Manuel Álvarez Bravo. During his monthlong stay, Hugo searched for a response to this prompt, and inspiration came when he chanced upon a platter of desiccated fruits in Oaxaca. “Making Pigments. San Agustin Etla” (2018), which shows a spread of dying crops in bold hues, was the first image Hugo captured in Mexico. But “something shifted” during that first visit, Hugo says. “I don’t know why, but I’m not done here,” he remembers thinking; he has since visited Mexico four more times, traveling between the bustling border city of Tijuana in the north, the colonial town of San Cristóbal de las Casas in the Central Highlands and the indigenous Zapotec town of Juchitán in the southern state of Oaxaca. “From the Day of the Dead to narco-politics, death is strongly felt there,” he says of the country, but it was its people’s day-to-day understanding of life’s fragility that inspired his new photography series, “La Cucaracha,” which will go on display at Yossi Milo Gallery in New York this month. Hugo named the series after the popular folk song about an injured cockroach whose lyrics are often rewritten in Mexico as political satire."
"1111","When our first child graduated from college, his godfathers (a gay couple) gave him a substantial monetary gift. When our second child graduated, the godfathers were going through a messy breakup and failed to acknowledge his graduation in any way. We’ve never mentioned this to the godfathers. Our second child is now about to earn his master’s degree. He recently told us he feels sad that his godfathers remembered his brother’s graduation, but not his. Should we remind the godfathers to acknowledge our younger son’s upcoming graduation and what they gave our older child? Trust me, it’s not about the money. We are still close with both men."
"1112","In preparation for his first American tour in a decade, Ronnie James Dio spent months sequestered in a modest office suite in Marina del Rey, in Los Angeles. The office was on the second floor of a strip mall, above a vape shop and a massage parlor. I visited at the end of May, only a couple of days before the opening date of the tour, and among Dio’s team, there was a tangible air of anticipation. Dio never became a household name, but he is considered one of the great heavy-metal vocalists of all time, up there with Ozzy Osbourne (whom he replaced in Black Sabbath) and metal-adjacent rockers like Axl Rose and Robert Plant. Beginning in the 1970s, Dio took a lead role in codifying a number of his genre’s most ludicrous, yet utterly foundational, conventions. He sang of wolves and demons, toured with an animatronic dragon and supposedly introduced the splay-fingered “devil horns” headbanger’s salute, which he claimed his Italian grandmother used to flash as an old-world method of warding off the malocchio and other forms of bad luck."
"1113","Money isn’t an object; I could easily go to a big-box store. However, purchasing something used seems more environmentally friendly and frugal, and there are several pawnshops in my neighborhood. On the one hand, it seems exploitative to participate in this industry. I don’t want my good price to come at the expense of someone who needs a quick infusion of cash. On the other hand, it would be presumptuous to assume that whoever sold the item in the first place isn’t acting in their own best interest. You could argue that I am indirectly providing an opportunity for someone to sell something if they could use the cash. Of course, if the owner were disreputable and the TV had been stolen, this would be unethical. But I don’t know the reputations of the specific pawnshops in my neighborhood and wouldn’t want to make unwarranted assumptions. Adam Schneider"
"1114","“It’s easier to appreciate snowflakes when you don’t have a shovel in your hand,” says Kenneth G. Libbrecht, a professor of physics at the California Institute of Technology in Pasadena, Calif., who studies snowflake morphology by growing ice crystals in his laboratory. Go out in the snow with dark clothing on and let a few flakes fall on your coat. Peer at them through a magnifying glass. Don’t assume you’ll see the archetypal, branching-star type called stellar dendrites, which require temperatures around minus 15 degrees Celsius. To see those in the wild, Libbrecht travels to a small town in northeastern Ontario. “The people there think I’m crazy,” he says."
"1115","Last fall, Prince Harry seemed to have everything a person could want: A luminous wife, a perfect baby and an extended stay in Africa, a region he has always loved."
"1116","She was too bold, too outspoken, too difficult, too American, too multicultural, the critics said. She should not have alienated the news media by refusing to join in their celebrity games. She should not have spent so much money renovating the house the royal family was kind enough to bestow upon her and her husband."
"1117","Justice Ruth Bader Ginsburg, whose health has become a preoccupation of the American public as the Supreme Court hews rightward under President Trump, announced this week that she was cancer-free."
"1118","Resolving to get in shape in the new year is an exhausting cliché, as is the fact that no one sticks to the resolve. There are people who are so motivated to exercise that they keep up their jogging or weight lifting routines year-round. And then there is everyone else, a group I fall into."
"1119","President Trump’s assassination of Maj. Gen. Qassim Suleimani, the head of Iran’s intelligence and security services, has pushed foreign policy to center stage in the Democratic primary race for president."
"1120","Take the most combustible, scarred, dysfunctional relationship the United States has with any country in the world and place it in the hands of an impulsive, ignorant, bullying American leader and you are likely to sleepwalk to the brink of war. That is what just happened with President Trump and Iran. It was no surprise. He has been fiddling with this grenade since he took office."
"1121","ALBANY, N.Y. — A rainbow-colored Arc of the Moral Universe. The Burr-Hamilton duel. An octopus called Intolerance. "
"1122","Kansas’ Democratic governor said on Thursday that she had reached a deal with Republicans who control the Legislature to expand Medicaid under the Affordable Care Act. If lawmakers approve the plan in the coming weeks, it would end years of wrangling over the issue in a state that has endured a series of rural hospital closures. "
"1123","SAN FRANCISCO — Defying pressure from Congress, Facebook said on Thursday that it would continue to allow political campaigns to use the site to target advertisements to particular slices of the electorate and that it would not police the truthfulness of the messages sent out."
"1124","One potential juror said she had a friend who had “an encounter” with the film producer Harvey Weinstein, without giving details. "
"1125","It has been on a steep upward trajectory for years, and in 2019, it finally happened."
"1126","No matter how much free time you have this weekend, we have TV recommendations for you. Come back every week for new suggestions on what to watch."
"1127","SAN JUAN, P.R. — The basketball tournament organizer worrying his business model could be gutted."
"1128","Pete Dye, who designed many of America’s most famous golf courses and became known as the mad scientist of golf architecture for his imaginative and supremely challenging layouts, died on Thursday in the Dominican Republic, the site of several Dye family courses. He was 94."
"1129","HONG KONG — “Who says I can’t sell an ice cream cone and add a gas mask on the side?” Chung Yiu-wa, the co-owner of Sogno Gelato, said. “I have a license to sell, and I can attach free gifts if I want. I’m not breaking any laws.”"
"1130","David M. Roeder, a retired Air Force colonel, was at home last week in Pinehurst, N.C., when he first saw the news flash on his television: An American embassy was under attack by protesters in the Middle East. "
"1131","For the second day in a row, a strong earthquake hit Puerto Rico before dawn."
"1132","In the tense hours following the American killing of a top Iranian military commander, the country’s supreme leader, Ayatollah Ali Khamenei, made a rare appearance at a meeting of the government’s National Security Council to lay down the parameters for any retaliation. It must be a direct and proportional attack on American interests, he said, openly carried out by Iranian forces themselves, three Iranians familiar with the meeting said Monday."
"1133","WASHINGTON — Years before President Trump ordered the killing of Maj. Gen. Qassim Suleimani, Reuel Marc Gerecht, a former C.I.A. officer and prominent neoconservative commentator, had recommended taking out the notorious Iranian general."
"1134","The authorities have charged an 18-year-old accused of lighting an incendiary device and throwing it at a Planned Parenthood building in Delaware."
"1135","(Want to get this briefing by email? Here’s the sign-up.) "
"1136","PARALIMNI, Cyprus — A British woman who was convicted last month of lying to the authorities in Cyprus when she accused a dozen Israelis of raping her in a resort town before retracting her statement will not serve any time in prison, after she was given a four-month suspended sentence on Tuesday."
"1137","Because of an editing error, a picture caption with an article on Sunday about a new rule that will allow federal agencies to disregard climate change when assessing the environmental impact of infrastructure projects misidentified a pipeline in Walsh County, N.D. While the pipeline in the photo is part of the Keystone system, it is not a part of the Keystone XL phase."
"1138","How well did you follow the news this past week? How many of these 10 questions can you get right?"
"1139","SEATTLE — Arriving at the United States border in Washington State early Sunday morning after a skiing trip to Canada, Negah Hekmati and her family were pulled out of line for further questioning by Customs and Border Protection agents."
"1140","After Mo Lewis of the Jets delivered a crushing hit on Drew Bledsoe of the Patriots on Sept. 23, 2001, New England turned to a sixth-round draft pick named Tom Brady to take over as quarterback. "
"1141","There are no more adults in the room."
"1142","Featured Article: “The City That Cycles With the Young, the Old, the Busy and the Dead” "
"1143","What social media do you use? Do you have accounts on Instagram, Twitter, Facebook or TikTok? Do you post a lot of your own content? Do you repost others’ content? Or, do you prefer just observing what friends, influencers or celebrities are doing? "
"1144","Elizabeth Wurtzel, whose startling 1994 memoir, “Prozac Nation: Young and Depressed in America,” won praise for opening a dialogue about clinical depression and helped introduce an unsparing style of confessional writing that remains influential, died on Tuesday in Manhattan. She was 52."
"1145","Elizabeth Wurtzel, whose startling 1994 memoir, “Prozac Nation: Young and Depressed in America,” won praise for opening a dialogue about clinical depression and helped introduce an unsparing style of confessional writing that remains influential, died on Tuesday in Manhattan. She was 52."
"1146","A Connecticut man pleaded guilty this week to a series of hoaxes, including sending a letter with white powder threatening to kill President Trump."
"1147","Some mornings, when Charon Francis-Hartley hears a knock at her door, she thinks, “This is the day.” This is the day someone is bringing an eviction notice."
"1148","On our radar: Carlos Ghosn is scheduled to hold a news conference this morning at 8 a.m. Eastern. Get updates here. (Want this in your inbox each morning? Sign up here.)"
"1149","WASHINGTON — Under increasing pressure to defend the killing of a top Iranian general in Iraq, senior Trump administration officials offered new justifications but little detail on Tuesday, citing threats to the American Embassy in Baghdad and intelligence suggesting other imminent attacks that helped prompt the strike."
"1150","Dominic moves with ease around the kitchen. There is no hesitation, no lingering. Recipes and measurements are nonexistent, but his food is always delicious. When Dominic cooks, the counters are spotless and the dishes clean. “Wash while you’re cooking,” he says. His hands are mysteriously baby-skin soft in spite of all the scrubbing. Dominic hasn’t told me that he loves me, unprompted, in days. But then he’ll look at me as I eat his food, our children sitting beside us. “Te quiero tanto” (“I love you very much”) is what I taste. — Susana Odriozola"
"1151","Tens of millions of Americans sat down Monday night to watch the most important game of the college football season: The LendingTree Bowl — formerly known as the Dollar General Bowl, GoDaddy Bowl and the GMAC Bowl — between teams from the Sun Belt and Mid-American conferences."
"1152","My teenage patient looked nervous as I reviewed her glucose readings from her glucometer and her glucose logbook, which people with diabetes use to track their blood-sugar test results. There were a lot of high levels — ranges in the 12’s and 14’s, when the goal was around 7 or 8. The peaks were mostly in the middle of the day and on weekends. (This was in Canada; blood glucose readings of 12 to 14 are equivalent to 216 to 250 mg/dL in the United States.)"
"1153","The quiet gesture from Cassius Winston goes largely unnoticed amid the hysteria at the start of another Michigan State basketball game."
"1154","We choose our presidents in happy times and sad, amid bull and bear markets, when we’re trying to conserve what is and when we’re itching to discover what might be."
"1155","The police in Milwaukee were searching for a driver who is accused of shooting two children this weekend after they threw snowballs at passing cars, the authorities said."
"1156","At least one person was killed and three others injured in a shooting on a residential street in Ottawa on Wednesday, the authorities in the Canadian capital said."
"1157","WASHINGTON — Federal prosecutors recommended on Tuesday that President Trump’s former national security adviser Michael T. Flynn be sentenced to up to six months in prison for lying to investigators in the Russia inquiry, a reversal that came after he backed off his cooperation deal and began suggesting that he had not committed any crimes."
"1158","Joseph R. Biden Jr. on Tuesday delivered a forceful and detailed critique of the Trump administration’s escalation toward Iran as he sought at every turn to highlight his own commander-in-chief credentials and to evoke the stature of a president."
"1159","WASHINGTON — The United States and France are racing to reach a compromise in a digital tax dispute that could result in hefty American tariffs on French wine, cheese, handbags, cookware and more. "
"1160","Tens of millions of Americans sat down Monday night to watch the most important game of the college football season: The LendingTree Bowl — formerly known as the Dollar General Bowl, GoDaddy Bowl and the GMAC Bowl — between teams from the Sun Belt and Mid-American conferences."
"1161","The quiet gesture from Cassius Winston goes largely unnoticed amid the hysteria at the start of another Michigan State basketball game."
"1162","My teenage patient looked nervous as I reviewed her glucose readings from her glucometer and her glucose logbook, which people with diabetes use to track their blood-sugar test results. There were a lot of high levels — ranges in the 12’s and 14’s, when the goal was around 7 or 8. The peaks were mostly in the middle of the day and on weekends. (This was in Canada; blood glucose readings of 12 to 14 are equivalent to 216 to 250 mg/dL in the United States.)"
"1163","We choose our presidents in happy times and sad, amid bull and bear markets, when we’re trying to conserve what is and when we’re itching to discover what might be."
"1164","It was the kind of full-throated critique of President Trump familiar to MSNBC viewers, yet transplanted to the heart of Fox News: Tucker Carlson, the network’s conservative 8 p.m. host, upbraiding the White House for its attempts to justify the killing of a top military commander in Iran."
"1165","After Mo Lewis of the Jets delivered a crushing hit on Drew Bledsoe of the Patriots on Sept. 23, 2001, New England turned to a sixth-round draft pick named Tom Brady to take over as quarterback. "
"1166","ALBANY, N.Y. — In the week since New York officially ended cash bail for many nonviolent criminal defendants, concerns over a spate of anti-Semitic incidents and other recent alleged crimes committed by those released under the law have spurred calls to undo parts of the legislation."
"1167","In recent years, internet-connected devices have colonized a range of new frontiers — wrists, refrigerators, doorbells, cars. But to some researchers, the spread of the “internet of things” has not gone nearly far enough."
"1168","NATO is removing some of the trainers who have been working with Iraqi soldiers battling the Islamic State, in the aftermath of the American killing of Maj. Gen. Qassim Suleimani of Iran in Baghdad. "
"1169","The police in Milwaukee were searching for a driver who is accused of shooting two children this weekend after they threw snowballs at passing cars, the authorities said."
"1170","At least one person was killed and three others injured in a shooting on a residential street in Ottawa on Wednesday, the authorities in the Canadian capital said."
"1171","WASHINGTON — Federal prosecutors recommended on Tuesday that President Trump’s former national security adviser Michael T. Flynn be sentenced to up to six months in prison for lying to investigators in the Russia inquiry, a reversal that came after he backed off his cooperation deal and began suggesting that he had not committed any crimes."
"1172","Joseph R. Biden Jr. on Tuesday delivered a forceful and detailed critique of the Trump administration’s escalation toward Iran as he sought at every turn to highlight his own commander-in-chief credentials and to evoke the stature of a president."
"1173","WASHINGTON — The United States and France are racing to reach a compromise in a digital tax dispute that could result in hefty American tariffs on French wine, cheese, handbags, cookware and more. "
"1174","The conflict between the United States and Iran has inspired a stream of commentary from our readers. Many feared the possibility of an impending war, while others defended the president’s choices in the name of national security. In all, thousands of readers from around the country raised passionate voices in response to Opinion’s coverage."
"1175","A man who told the authorities that he was Timmothy Pitzen, a boy who went missing in 2011 at age 6, only to have a DNA test reveal otherwise, pleaded guilty to aggravated identity theft on Wednesday, according to the Justice Department."
"1176","An article on Wednesday about the Trump administration’s justification for the killing of Maj. Gen. Qassim Suleimani referred incorrectly to an intelligence briefing given to lawmakers on Tuesday. It was not given by Gina Haspel, the C.I.A. director."
"1177","June Bacon-Bercey, who by many accounts became the first African-American woman to deliver the weather on television as a trained meteorologist, died on July 3 at a care facility in Burlingame, Calif., her family announced recently. She was 90."
"1178","To the Editor:"
"1179","BEIRUT, Lebanon — Most global fugitives tend to lie low. They do not beckon reporters to televised news conferences or allow themselves to be photographed drinking wine by candlelight days after being smuggled in a box aboard a chartered jet to freedom."
"1180","SAN JUAN, P.R. — The basketball tournament organizer worrying his business model could be gutted."
"1181","Pete Dye, who designed many of America’s most famous golf courses and became known as the mad scientist of golf architecture for his imaginative and supremely challenging layouts, died on Thursday in the Dominican Republic, the site of several Dye family courses. He was 94."
"1182","HONG KONG — “Who says I can’t sell an ice cream cone and add a gas mask on the side?” Chung Yiu-wa, the co-owner of Sogno Gelato, said. “I have a license to sell, and I can attach free gifts if I want. I’m not breaking any laws.”"
"1183","Bioluminescence might seem uncommon, even alien. But biologists think organisms evolved the ability to light up the dark as many as 50 different times, sending tendrils of self-powered luminosity coursing through the tree of life, from fireflies and vampire squids to lantern sharks and foxfire, a fungus found in rotting wood."
"1184","Reading Garth Greenwell’s new book, “Cleanness,” you might sense a bit of déjà vu."
"1185","It is hard to think of another artist who was more beloved than John Baldessari, who died Thursday at 88. Although he was not a household name, he was hugely influential as a professor, and helped establish Los Angeles as the country’s reigning art-school capital. A tall, soft-spoken man with shaggy white hair and a biblical beard, Baldessari was easy to recognize. His champions like to say that he was “much more” than a teacher, but the statement offends, with its implicit suggestion that teaching is a mundane pursuit compared with the majesty of making art."
"1186","Two months ago, Ethos Capital, a private equity firm, announced that it planned to buy the rights to a tract of internet real estate for more than $1 billion."
"1187","When Laura Vanderkam started sharing the news that she was pregnant with her 5th child, she was startled by some of the reactions. “People are fascinated by large families,” Laura wrote in a piece for NYT Parenting, both because they’re increasingly rare and, she began to suspect, they assume “[we] have the maddening logistics of 21st-century child-rearing all figured out.” As Laura and her family prepared to welcome baby Henry (who arrived on Dec. 29), she sought advice from experienced moms and dads with big families. Now, we want to continue the conversation. If you’re a parent of five or more children, has your approach to raising kids changed as your family has grown? What do you wish more people understood about the joys and struggles of being the biggest family on the block? And, how do you answer that very common question: How do you do it?"
"1188","The Romance Writers of America, grappling with the backlash to a racism dispute that has spurred furious debate over diversity and inclusion issues within the romance genre, said Thursday that its president and executive director have resigned."
"1189","In 2018, the curator Francisco Berzunza invited the South African artist Pieter Hugo to Mexico to create a body of work that would engage with themes of sexuality and death for an exhibition at the Centro Fotográfico Manuel Álvarez Bravo. During his monthlong stay, Hugo searched for a response to this prompt, and inspiration came when he chanced upon a platter of desiccated fruits in Oaxaca. “Making Pigments. San Agustin Etla” (2018), which shows a spread of dying crops in bold hues, was the first image Hugo captured in Mexico. But “something shifted” during that first visit, Hugo says. “I don’t know why, but I’m not done here,” he remembers thinking; he has since visited Mexico four more times, traveling between the bustling border city of Tijuana in the north, the colonial town of San Cristóbal de las Casas in the Central Highlands and the indigenous Zapotec town of Juchitán in the southern state of Oaxaca. “From the Day of the Dead to narco-politics, death is strongly felt there,” he says of the country, but it was its people’s day-to-day understanding of life’s fragility that inspired his new photography series, “La Cucaracha,” which will go on display at Yossi Milo Gallery in New York this month. Hugo named the series after the popular folk song about an injured cockroach whose lyrics are often rewritten in Mexico as political satire."
"1190","When our first child graduated from college, his godfathers (a gay couple) gave him a substantial monetary gift. When our second child graduated, the godfathers were going through a messy breakup and failed to acknowledge his graduation in any way. We’ve never mentioned this to the godfathers. Our second child is now about to earn his master’s degree. He recently told us he feels sad that his godfathers remembered his brother’s graduation, but not his. Should we remind the godfathers to acknowledge our younger son’s upcoming graduation and what they gave our older child? Trust me, it’s not about the money. We are still close with both men."
"1191","Money isn’t an object; I could easily go to a big-box store. However, purchasing something used seems more environmentally friendly and frugal, and there are several pawnshops in my neighborhood. On the one hand, it seems exploitative to participate in this industry. I don’t want my good price to come at the expense of someone who needs a quick infusion of cash. On the other hand, it would be presumptuous to assume that whoever sold the item in the first place isn’t acting in their own best interest. You could argue that I am indirectly providing an opportunity for someone to sell something if they could use the cash. Of course, if the owner were disreputable and the TV had been stolen, this would be unethical. But I don’t know the reputations of the specific pawnshops in my neighborhood and wouldn’t want to make unwarranted assumptions. Adam Schneider"
"1192","“It’s easier to appreciate snowflakes when you don’t have a shovel in your hand,” says Kenneth G. Libbrecht, a professor of physics at the California Institute of Technology in Pasadena, Calif., who studies snowflake morphology by growing ice crystals in his laboratory. Go out in the snow with dark clothing on and let a few flakes fall on your coat. Peer at them through a magnifying glass. Don’t assume you’ll see the archetypal, branching-star type called stellar dendrites, which require temperatures around minus 15 degrees Celsius. To see those in the wild, Libbrecht travels to a small town in northeastern Ontario. “The people there think I’m crazy,” he says."
"1193","TORONTO — “You take such good care of your hands,” Daniel Levy marveled as he waited for the director to call “action.”"
"1194","In preparation for his first American tour in a decade, Ronnie James Dio spent months sequestered in a modest office suite in Marina del Rey, in Los Angeles. The office was on the second floor of a strip mall, above a vape shop and a massage parlor. I visited at the end of May, only a couple of days before the opening date of the tour, and among Dio’s team, there was a tangible air of anticipation. Dio never became a household name, but he is considered one of the great heavy-metal vocalists of all time, up there with Ozzy Osbourne (whom he replaced in Black Sabbath) and metal-adjacent rockers like Axl Rose and Robert Plant. Beginning in the 1970s, Dio took a lead role in codifying a number of his genre’s most ludicrous, yet utterly foundational, conventions. He sang of wolves and demons, toured with an animatronic dragon and supposedly introduced the splay-fingered “devil horns” headbanger’s salute, which he claimed his Italian grandmother used to flash as an old-world method of warding off the malocchio and other forms of bad luck."
