"","response.docs.lead_paragraph"
"550","HONG KONG — Stocks in China plunged on Monday as investors returned from a long holiday to the prospect of the world’s No. 2 economy virtually shut down by the coronavirus epidemic."
"551","WASHINGTON — When all the partisan posturing, parliamentary wrangling and legalistic arguing are stripped away, the impeachment process that dominated Washington for months produced a set of facts that is largely beyond dispute: The president of the United States pressured a foreign government to take actions aimed at his political opponents."
"552","It had been a difficult first childbirth: The umbilical cord had gotten entangled around her daughter’s neck, and the doctors wanted to keep the baby at the hospital for three days."
"553","KABUL, Afghanistan — More than four months after Afghans cast their votes for a new president amid a raging war, the crisis over the election’s results deepened as officials on Wednesday ordered a partial audit of a decisive share of ballots."
"554","LONDON — Lawmakers on the island of Jersey have approved scrapping a decades-old law that prevented married women from talking to the tax authorities without the permission of their husband or filing taxes under their own names, a mechanism described by a local senator as “archaic.”"
"555","LOS ANGELES — Welcome to a Britney Spears fantasy land: the Britney of the past, the Britney we want her to be."
"556","WASHINGTON — The overall United States trade deficit shrank last year for the first time in six years as the American economy cooled, domestic oil production soared and President Trump waged an aggressive global trade war to rewrite America’s trading terms."
"557","Who won the Super Bowl?"
"558","Flavonols, a large class of compounds found in most fruits and vegetables, may be associated with a reduced risk for Alzheimer’s disease. Flavonols are known to have antioxidant and anti-inflammatory effects, and animal studies have suggested they may improve memory and learning."
"559","Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via RadioPublic | Via Stitcher"
"560","In New York City’s intensely competitive rental market, tenants usually deal with middlemen known as brokers, who have near absolute control over apartment listings, viewing appointments and leases."
"561","Greenwich Village may no longer be a predominantly L.G.B.T. neighborhood, but it remains a vibrant center of gay night life. In December, the owners of Pieces on Christopher Street and Hardware in Hell’s Kitchen took over the former Boots & Saddle space — a block south of the Stonewall National Monument — and reopened it as Playhouse Bar, a drag-filled and dance-happy nightclub that appeals to New Yorkers and tourists alike."
"562","HEATHCLIFF REDUX A Novella and StoriesBy Lily Tuck"
"563","THE CONVERTBy Stefan Hertmans"
"564","Kirk Douglas, one of the last surviving movie stars from Hollywood’s golden age, whose rugged good looks and muscular intensity made him a commanding presence in celebrated films like “Lust for Life,” “Spartacus” and “Paths of Glory,” died on Wednesday at his home in Beverly Hills, Calif. He was 103. "
"565","This briefing has ended. Read the latest updates in the coronavirus outbreak here."
"566","Read the latest developments in the coronavirus outbreak here."
"567","NOVI, Mich. — It was billed, in appropriately Trumpian fashion, as the largest State of the Union watch party in the country."
"568","I can’t remember the name of the restaurant, or when I had this meal, which dates it to at least before smartphones and Instagram. I’m pretty sure the chef was French and the meal was dinner. I’m positive that the restaurant was very fancy — fancy enough that the servers wore white gloves. And fanciful enough that the last of the courses was bonbons of many colors, wheeled out on a trolley that could have held a royal wedding cake. There must have been chocolates and lollipops and squares of pâte de fruits (gummy bears’ ritzy relatives), but I had eyes only for the tall, glass, footed apothecary jars with lids shaped like the Kremlin’s pointy domes."
"569","Edie Falco is a master of the tough exterior: The mob boss’s wife in “The Sopranos.” The drug-addicted E.R. nurse in “Nurse Jackie.” And now, in her new CBS series, “Tommy,” the jaw-busting, gay, first female chief of the L.A.P.D."
"570","In New York City’s intensely competitive rental market, tenants usually deal with middlemen known as brokers, who have near absolute control over apartment listings, viewing appointments and leases."
"571","Once again, we are holding a letter-writing competition for high school students. We invite you to submit a letter to the editor in response to a Times news article, editorial, column or Op-Ed in the last few days. We will publish a selection of our favorites."
"572","Early in “The Awakening” — Kate Chopin’s great feminist novel of identity and self-consciousness, which still throbs with relevance more than 120 years after its publication — the heroine’s husband picks a fight. He has spent the evening at a casino and now it’s approaching midnight, but the card game has left Léonce “in high spirits, and very talkative.” He wakes his wife to gossip but she answers him sleepily, “with little half utterances.” Spurned, and still intent on rousing her, Léonce manufactures a fever for their sleeping son. When Edna dares doubt this, Léonce calls her a bad mother. She springs out of bed to check, while Léonce — no longer worried, if he ever actually was — enjoys his cigar. Soon, Mr. Pontellier is fast asleep, but “Mrs. Pontellier was by that time thoroughly awake.”"
"573","No corrections appeared in print on Monday, Feb. 3, 2020."
"574","“It really needs to be done by 9 because people lose their patience.”"
"575"," [Want to get New York Today by email? Here’s the sign-up.]"
"576","This house is five miles from downtown Oakland, in Oakmore, a hillside neighborhood of Tudor-style homes built in the 1920s and 1930s, mostly for Bay Area professionals who relied on the Key Route (the streetcar predecessor to the BART system) to travel between Oakland and San Francisco. Many homes in the area have redwood views, and this house is a five-minute drive from Joaquin Miller Park, with 500 acres of dense redwood, oak and pine trees."
"577","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together."
"578"," [Want to get New York Today by email? Here’s the sign-up.]"
"579","“It really needs to be done by 9 because people lose their patience.”"
"580","DES MOINES — The line outside the Trump rally on Thursday night was perhaps not the safest space to try to conduct a Socratic dialogue about the nature of truth. But Joe Walsh — former Tea Party congressman, former right-wing radio host, current Trump opponent — leaned right in."
"581","CEDAR RAPIDS, Iowa — On the morning after Hillary Clinton lost in November 2016, I stood wedged between television cameras, in the back of a hotel ballroom, and watched a Democratic breakdown."
"582","It’s a truism that America has been gripped by tribalism, polarization and rage. But what if it were possible to have a civil conversation with an unlike-minded stranger? To find common ground and even persuade that person to think differently?"
"583","Over six seasons, “BoJack Horseman,” which released its final episodes Friday on Netflix, evolved from a scathing Hollywood satire into a more expansive and often disquieting exploration of depression, addiction and human morality."
"584","$2.18 MILLION"
"585","Featured Article: “‘Sesame Street’ Is Opening Up to Syrian Refugees” by Alex Carp"
"586","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together."
"587","Tribune Publishing, the owner of The Chicago Tribune, announced a management shake-up on Monday, naming Terry Jimenez, its chief financial officer, as the chief executive. He succeeds Timothy P. Knight, who will step down after only a year leading the company."
"588","TASHKENT, Uzbekistan — Secretary of State Mike Pompeo said Monday that the Trump administration was moving ahead with peace talks with the Taliban to end the war in Afghanistan. But to reach a deal, he said, the Taliban must first  give “demonstrable evidence of their will and capacity to reduce violence.”"
"589","Can you find the Bahamas on a map? What else do you know about this Caribbean nation with about 390,000 people?"
"590","DUBUQUE, Iowa — “I'm stuck,” Jerry Hermsen said."
"591","Here is what a “dad nap” looks like: A man passed out in the middle of any high-traffic domestic space, usually with a fair amount of ruckus going on around him while he blithely sleeps the day away, perhaps with a quilt pulled over his head to block out sound and cover his mouth, which is definitely agape."
"592","Snow flurries swirled against the window, but the atmosphere inside a Manhattan rehearsal room on a recent Saturday afternoon was comparatively balmy, warmed by the insistent triple meter of son jarocho, folk music from the Gulf of Mexico. Six actors, led by Sinuhé Padilla, a musician who specializes in the style, were working through a climactic moment in “Fandango for Butterflies (and Coyotes),” a new play about immigration by Andrea Thome that will be produced at venues in all five New York City boroughs, starting at La MaMa on Feb. 6."
"593","The new coronavirus has infected more than 28,000 people, and at least 563 have died. But relatively few children appear to have developed severe symptoms so far, according to the available data."
"594","It’s no secret that Donald Trump, just months before he ran for the job of most powerful man in the world, was hosting Season 7 of “The Celebrity Apprentice.” But not all his TV appearances as president have been as reality-fied as one might have expected, especially his sedate, from-the-TelePrompTer State of the Union speeches."
"595","DES MOINES — The app that the Iowa Democratic Party commissioned to tabulate and report results from the caucuses on Monday was not properly tested at a statewide scale, said people who were briefed on the app by the state party."
"596","There’s a new rocket ship from Elon Musk: Tesla’s stock."
"597","President Trump called for paid family leave in the State of the Union on Tuesday, the first Republican president to do so. But the bill he supported does not offer what has generally been considered paid family leave."
"598","It’s a truism that America has been gripped by tribalism, polarization and rage. But what if it were possible to have a civil conversation with an unlike-minded stranger? To find common ground and even persuade that person to think differently?"
"599","For a while there, you could count on Oscar’s best-picture race to leave at least one slot open for a hit from the Sundance Film Festival. Movies like “Manchester by the Sea,” “Brooklyn,” “Call Me by Your Name,” and “Beasts of the Southern Wild” began their long road to awards season at the festival in Park City, Utah, while Sundance classics “Boyhood” and “Get Out” came oh-so-close to winning the best-picture trophy outright."
"600","LONDON — Just three days after their formal parting, Britain and the European Union were already at loggerheads Monday over a future trade deal, setting the stage for months of bluster and bickering over how to refashion their economic and political ties."
"601","Public library employees in Missouri could face a fine or jail time for providing “age-inappropriate sexual material” under a bill proposed by a state lawmaker."
"602","Tribune Publishing, the owner of The Chicago Tribune, announced a management shake-up on Monday, naming Terry Jimenez, its chief financial officer, as the chief executive. He succeeds Timothy P. Knight, who will step down after only a year leading the company."
"603","TASHKENT, Uzbekistan — Secretary of State Mike Pompeo said Monday that the Trump administration was moving ahead with peace talks with the Taliban to end the war in Afghanistan. But to reach a deal, he said, the Taliban must first  give “demonstrable evidence of their will and capacity to reduce violence.”"
"604","Several Democratic candidates for president headed to New Hampshire as they awaited the delayed results from the Iowa caucuses."
"605","Surreal will be the word of the evening as President Trump marches into the same House chamber where he was impeached just seven weeks ago to address the nation even as he is on trial for high crimes and misdemeanors on the other side of the Capitol."
"606","For much of the last two decades, Steve Mills has been in the Knicks orbit, whether as a high-ranking executive with the Madison Square Garden Company or as the person in charge of basketball decisions for the franchise. It seemed that nothing could shake the faith of James L. Dolan, the team’s owner. Not a sexual harassment lawsuit filed in 2006 against a coach hired on Mills’s recommendation. Not years of running out a bad basketball team. In the 21st century, one of the few constants for the Knicks, outside of Dolan, was Mills."
"607","New York City’s police commissioner on Tuesday blamed the state’s new bail law for a sharp rise last month in serious crimes, warning again that the law allows violent criminals to go free and risks eroding the city’s historic improvements in public safety."
"608","The chairman of Disney said on Thursday that the company is apologizing to a California elementary school that was asked to pay for a license after it showed “The Lion King” at a fund-raiser organized by students’ parents in 2019."
"609","The Times movie critic A.O. Scott looks back at the career of the actor Kirk Douglas. Mr. Douglas achieved enormous success in the 1950s and ’60s and was comfortable in a variety of genres."
"610","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together."
"611","To the Editor:"
"612","As New York Fashion Week approaches, so too does the insider drama of the show calendar. Which designers are skipping this season? Who is switching cities at the last minute? Who is left?"
"613","The Taylor Swift enterprise amplifies transparency and also prizes privacy — you know everything about her, and yet you don’t know her at all. For more than a decade, this has been the tug-of-war central to the singer and songwriter’s art and her public image, but recently, her self-protection instincts have been thawing a bit."
"614","Lauren Young was a model from New York City who wrote screenplays and wanted to break into the film business when she had a stroke of luck: She met a woman who had a direct line to the Hollywood producer Harvey Weinstein.    "
"615","DES MOINES — A night that was supposed to bring clarity to the Democratic presidential contest turned into a long ordeal of confusion and delays on Monday, as the Iowa Democratic Party failed to report results from more than a handful of precincts for hours after the state’s famed caucuses began."
"616","“I don’t think there really is a right time to start a business,"" Carter Altman said Monday before his presentation at the kickoff of New York Fashion Week: Men’s, an event that nowadays barely merits the grandiose name. For a start, it covers little more than three days, features fewer designers than in any recent season (under two dozen) and has a single headline designer in Todd Snyder."
"617","As rescuers searched for survivors of a deadly avalanche in eastern Turkey, a second avalanche swept down the same slope on Wednesday, killing more than 30 people and injuring many more."
"618","Trouble had come to Pizza Paradise. A police car sat outside 12 West 18th Street on Monday. Two protesters paced the sidewalk, bearing saffron-yellow placards and handing out fliers printed with an all-caps battle cry: “DON’T EAT HERE.”"
"619","Want more basketball in your inbox? Sign up for Marc Stein’s weekly N.B.A. newsletter here."
"620","You can understand a lot about the moviemaking process by diving into one scene. As this awards season comes to a close, I’m looking back on the conversations I had with directors of a handful of the current Oscar nominees for best picture. Each director used one sequence to help me understand the nuances of what brings the film to life. Below are five lessons gleaned from their craft."
"621","There is “Atypical,” on Netflix, a coming-of-age comedy that features young adults on the autism spectrum, and “This Close,” on Sundance Now, about besties who are deaf. Both shows are part of a gradual trend toward the authentic casting of characters with disabilities. But according to new research, they are also anomalies."
"622","On Saturday, the Seattle Asian Art Museum will reopen after a two-year, $56 million restoration and renovation, unveiling new and modern spaces to share its extensive collection. The building is one of three associated with the Seattle Art Museum, and except for some minor additions, has not had a major renovation since its construction in 1933."
"623","It is often said that when President Trump eventually leaves office, reporters will be in a state of confusion, so accustomed are we to a constant stream of tweets and announcements that send us scurrying to report or fact-check or tear tufts of hair out multiple times in an hour."
"624","BERLIN — When Daniel Kehlmann read the news that the former Nissan executive Carlos Ghosn, facing financial misconduct charges in Japan, fled the country in a box, he couldn’t help but feel a twinge of admiration."
"625","The quadratic equation has frustrated math students for millenniums. But a math professor at Carnegie Mellon University in Pittsburgh may have come up with a better way of solving it."
"626","Four military bases in Texas, California and Colorado were preparing to house American citizens for up to two weeks as part of a highly unusual federal effort aimed at slowing the spread of the deadly coronavirus. As of late Monday, though, expectations that a large number of Americans who had traveled to parts of China might quickly be held under quarantine had not come to pass."
"627","Claire Campbell expected to spend this semester studying in Shanghai. Instead, she is five days into a self-imposed quarantine at her parents’ house in South Carolina."
"628","HALF BROKEA MemoirBy Ginger Gaffney"
"629","In a pair of historic votes, 52 to 48 and 53 to 47, senators acquitted President Trump of two charges: abuse of power and obstruction of Congress."
"630","As rescuers searched for survivors of a deadly avalanche in eastern Turkey, a second avalanche swept down the same slope on Wednesday, killing more than 30 people and injuring many more."
"631","You can understand a lot about the moviemaking process by diving into one scene. As this awards season comes to a close, I’m looking back on the conversations I had with directors of a handful of the current Oscar nominees for best picture. Each director used one sequence to help me understand the nuances of what brings the film to life. Below are five lessons gleaned from their craft."
"632","There is “Atypical,” on Netflix, a coming-of-age comedy that features young adults on the autism spectrum, and “This Close,” on Sundance Now, about besties who are deaf. Both shows are part of a gradual trend toward the authentic casting of characters with disabilities. But according to new research, they are also anomalies."
"633","On Saturday, the Seattle Asian Art Museum will reopen after a two-year, $56 million restoration and renovation, unveiling new and modern spaces to share its extensive collection. The building is one of three associated with the Seattle Art Museum, and except for some minor additions, has not had a major renovation since its construction in 1933."
"634","In a 2018 essay for Time magazine, the actress Gabrielle Union lamented Hollywood’s lack of imagination when it comes to casting people of color. Why, she asked, is it so hard to make movies about black and brown people that tell “the same nonsensical and mundane stories as white women and men”? It’s now two years later, and the only actor of color nominated for an Oscar is Cynthia Erivo for her portrayal of Harriet Tubman."
"635","Trouble had come to Pizza Paradise. A police car sat outside 12 West 18th Street on Monday. Two protesters paced the sidewalk, bearing saffron-yellow placards and handing out fliers printed with an all-caps battle cry: “DON’T EAT HERE.”"
"636","As Iowa grapples with the aftermath of a Democratic caucus that one party leader called a “systemwide disaster,” American voters and election officials are already looking ahead at the handful of other states and American territories that will be picking — or trying to pick — the Democratic nominee in similar ways."
"637","Sheryl Sandberg, Facebook’s chief operating officer, announced her engagement to Tom Bernthal, the founder of a Los Angeles-based strategic consulting agency, on Monday."
"638","Trouble had come to Pizza Paradise. A police car sat outside 12 West 18th Street on Monday. Two protesters paced the sidewalk, bearing saffron-yellow placards and handing out fliers printed with an all-caps battle cry: “DON’T EAT HERE.”"
"639","As rescuers searched for survivors of a deadly avalanche in eastern Turkey, a second avalanche swept down the same slope on Wednesday, killing more than 30 people and injuring many more."
"640","You can understand a lot about the moviemaking process by diving into one scene. As this awards season comes to a close, I’m looking back on the conversations I had with directors of a handful of the current Oscar nominees for best picture. Each director used one sequence to help me understand the nuances of what brings the film to life. Below are five lessons gleaned from their craft."
"641","There is “Atypical,” on Netflix, a coming-of-age comedy that features young adults on the autism spectrum, and “This Close,” on Sundance Now, about besties who are deaf. Both shows are part of a gradual trend toward the authentic casting of characters with disabilities. But according to new research, they are also anomalies."
"642","How much of an impact does a fashion statement have the second (or third) time around?"
"643","On Saturday, the Seattle Asian Art Museum will reopen after a two-year, $56 million restoration and renovation, unveiling new and modern spaces to share its extensive collection. The building is one of three associated with the Seattle Art Museum, and except for some minor additions, has not had a major renovation since its construction in 1933."
"644","Claire Danes walked into the Museum of Modern Art for the eighth and final season premiere of “Homeland” on Tuesday, in a glamorous one-armed, leopard-print gown by Erdem."
"645","See how each senator will vote on whether to convict and remove President Trump from office."
"646","The Times movie critic A.O. Scott looks back at the career of the actor Kirk Douglas. Mr. Douglas achieved enormous success in the 1950s and ’60s and was comfortable in a variety of genres."
"647","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together."
"648","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together."
"649","This house is five miles from downtown Oakland, in Oakmore, a hillside neighborhood of Tudor-style homes built in the 1920s and 1930s, mostly for Bay Area professionals who relied on the Key Route (the streetcar predecessor to the BART system) to travel between Oakland and San Francisco. Many homes in the area have redwood views, and this house is a five-minute drive from Joaquin Miller Park, with 500 acres of dense redwood, oak and pine trees."
"650","CEDAR RAPIDS, Iowa — On the morning after Hillary Clinton lost in November 2016, I stood wedged between television cameras, in the back of a hotel ballroom, and watched a Democratic breakdown."
"651","Welcome to Salt River Fields, the newest spring training facility in Scottsdale, Arizona. Turn east off of Pima, drive down the fresh boulevard, Lions Way. You’re flanked by parking lots so new they still smell like tar, their white hatching wet: ample parking for the anticipated crowds, already sold out for opening day. Note the median’s plantings: environmentally sustainable xeriscape. Of course, this is 2011, and the club cares about our natural resources, is mindful of the perpetual drought in Phoenix metro. A few Christmas cacti bloom, despite it being February."
"652"," [Want to get New York Today by email? Here’s the sign-up.]"
"653","A Tudor Revival cottage in Oakland, a contemporary retreat in Palm Springs and a 1925 Spanish-style house in Los Angeles."
"654","DES MOINES — The line outside the Trump rally on Thursday night was perhaps not the safest space to try to conduct a Socratic dialogue about the nature of truth. But Joe Walsh — former Tea Party congressman, former right-wing radio host, current Trump opponent — leaned right in."
"655","Can you find the Bahamas on a map? What else do you know about this Caribbean nation with about 390,000 people?"
"656","Lucy Jarvis, a groundbreaking producer in television and theater who was especially known for gaining access to hard-to-crack locations, including the Soviet Union and China at the height of the Cold War, died on Jan. 26 in Manhattan. She was 102."
"657","In Turkey, winter is the season of salep."
"658","“It’s sort of like you’re dressing your future self,” says Shaquan Hoke, an employment and personal-development coach in New York. Do your research — whether online or in person — about the culture of your potential employer. A hedge fund, for example, will have different clothing expectations than an art gallery. Choose something that makes you feel comfortable and powerful — a version of yourself that already has the job. Hoke often tells clients to opt for a classic white shirt, a pencil skirt or a blazer and slacks that can be paired to look like a suit. Wear dark-colored shoes you could skip in. “If your feet hurt, it will show,” she says."
"659","BEIJING — The Apple stores were among the busiest places still open in Beijing after the coronavirus outbreak, though employees forbade customers to try the watches or AirPods."
"660","SHOUGUANG, China — Along the roads leading into the small eastern city of Shouguang, workers in hazmat suits stop cars and take passengers’ temperatures."
"661","WUHAN, China — People desperate for treatment started descending on a new hospital that was mostly built in just 10 days to help cope with the outbreak of the new coronavirus in the central city of Wuhan on Monday."
"662","The chairman of Disney said on Thursday that the company is apologizing to a California elementary school that was asked to pay for a license after it showed “The Lion King” at a fund-raiser organized by students’ parents in 2019."
"663","Editors’ note: This is part of the Op-Eds From the Future series, in which science fiction authors, futurists, philosophers and scientists write Op-Eds that they imagine we might read 5, 10, 50 or even 200 years from now. The challenges they predict are imaginary — for now — but their arguments illuminate the urgent questions of today and prepare us for tomorrow. The Opinion piece below is a work of fiction."
"664","The new coronavirus has infected more than 28,000 people, and at least 563 have died. But relatively few children appear to have developed severe symptoms so far, according to the available data."
"665","It’s no secret that Donald Trump, just months before he ran for the job of most powerful man in the world, was hosting Season 7 of “The Celebrity Apprentice.” But not all his TV appearances as president have been as reality-fied as one might have expected, especially his sedate, from-the-TelePrompTer State of the Union speeches."
"666","DES MOINES — The app that the Iowa Democratic Party commissioned to tabulate and report results from the caucuses on Monday was not properly tested at a statewide scale, said people who were briefed on the app by the state party."
"667","There’s a new rocket ship from Elon Musk: Tesla’s stock."
"668",""
"669","Daniel arap Moi, the autocratic president of Kenya from 1978 to 2002, who ruled his East African nation in a postcolonial era of political repression, economic stagnation and notorious corruption, but in the end gave up power peacefully, died on Tuesday in Nairobi. He was 95. "
"670","Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher"
"671","A hunting conference in Reno, Nev., this week was drawing online protests, with Brian Wilson, a co-founder of the Beach Boys, asking fans to join him in signing a petition protesting the group’s performance on Wednesday."
"672","College football’s national signing day was more than a week away, but P. J. Fleck, the coach at Minnesota, had little reason to care."
"673","The Danish String Quartet plans to play all of Beethoven’s quartets in concert this month. But I beat them to it, streaming these 16 works, plus the Grosse Fuge, a monument in one movement — nearly nine hours of music in all — over some 10 days in January."
"674","STORRS, Conn. — The postgame tableau at Gampel Pavilion, of a disappointed Geno Auriemma analyzing what went wrong, was unfamiliar."
"675","For much of the last two decades, Steve Mills has been in the Knicks orbit, whether as a high-ranking executive with the Madison Square Garden Company or as the person in charge of basketball decisions for the franchise. It seemed that nothing could shake the faith of James L. Dolan, the team’s owner. Not a sexual harassment lawsuit filed in 2006 against a coach hired on Mills’s recommendation. Not years of running out a bad basketball team. In the 21st century, one of the few constants for the Knicks, outside of Dolan, was Mills."
"676","New York City’s police commissioner on Tuesday blamed the state’s new bail law for a sharp rise last month in serious crimes, warning again that the law allows violent criminals to go free and risks eroding the city’s historic improvements in public safety."
"677","WASHINGTON — Nigeria’s top diplomat said on Tuesday that he was “somewhat blindsided” by the Trump administration’s ban on Nigerian immigrants but that he had been assured by American officials that visa restrictions could soon be lifted."
"678","Claire Campbell expected to spend this semester studying in Shanghai. Instead, she is five days into a self-imposed quarantine at her parents’ house in South Carolina."
"679","How different groups voted in Iowa."
"680",""
"681","This briefing has ended. Read live updates on the coronavirus outbreak here. "
"682","Sheryl Sandberg, Facebook’s chief operating officer, announced her engagement to Tom Bernthal, the founder of a Los Angeles-based strategic consulting agency, on Monday."
"683","RACE AGAINST TIME A Reporter Reopens the Unsolved Murder Cases of the Civil Rights EraBy Jerry Mitchell"
"684","In January, the first month of the 2020s, the N.H.L. was ruled by steely glares from the old guard. Not far behind were the bright eyes of those rookies eager to etch their names into hockey lore. Marquee players in their prime continued to roll; the world junior championships showed off aspiring prospects; and talent across generations, and genders, was on display at All-Star weekend. And, of course, two more coaches were fired."
"685","Five men are facing charges in the United States military tribunal at Guantánamo Bay of aiding the 19 men who hijacked passenger planes and crashed them into the World Trade Center, Pentagon and a Pennsylvania field on Sept. 11, 2001."
"686","Jerry Jacobson swindled more than $24 million out of a major fast food promotion over 12 years. His trick: stealing and selling McDonald’s Monopoly game pieces."
"687","EVERY FEW DAYS, the Canadian architect Omar Gandhi migrates between Toronto, his hometown, and Halifax, the capital of Nova Scotia, where he opened his eponymous firm in 2010. A year and a half ago, Gandhi added New Haven to his weekly peregrinations — he was teaching a seminar at the Yale School of Architecture called Where the Wild Things Are, after Maurice Sendak’s 1963 children’s book. For the final project of the semester, the professor took his class to the wind-swept island of Cape Breton (a glove-shaped appendage separated from Nova Scotia’s main peninsula by the narrow Strait of Canso) to visit Rabbit Snare Gorge — his 2013 project with the New York-based architecture firm Design Base 8 — a slender cabin that stretches 43 feet tall, like a 16th-century Mannerist portrait. Touring the surrounding plot, a 47-acre wooded slope bisected by the creek that gives the house its name, Gandhi, 40, asked his students to conceive a “campus of creatures” — a set of structures that, as he described it when we met at his Halifax studio last summer, “have an attitude and respond and look like they move.”"
"688","Last August, at a premiere party at the NeueHouse on Sunset Boulevard in Los Angeles, the actor Brian Michael Smith was biting into a slider when he turned around and there was Oprah Winfrey. Several years before, as a black transgender man struggling to break into Hollywood, Smith saw no obvious trajectory to a meaningful career. Even a college acting teacher said no one would cast him. “I saw zero representation of transmasculinity,” he says, using an umbrella term that means different things to different people but often describes trans men and nonbinary people who identify more with masculinity. “It was very isolating to grow up and have these dreams. I didn’t see how I was going to be able to do it.”"
"689","George Steiner, a literary polymath and man of letters whose voluminous criticism often dealt with the paradox of literature’s moral power and its impotence in the face of an event like the Holocaust, died on Monday at his home in Cambridge, England. He was 90."
"690","Nathaniel R. Jones, a former chief legal spokesman for the civil rights movement and later a federal appeals court judge who devoted his long career to eradicating the legacy of slavery endured by his own family, died on Jan. 26 at his home in Cincinnati. He was 93."
"691","TOKYO — Hidden away in her cabin, Masako Ishida reckons she doesn’t face much risk from the coronavirus that has stalked her cruise ship, forcing an onboard quarantine of 3,700 passengers and crew members in the port city of Yokohama."
"692","As Iowa grapples with the aftermath of a Democratic caucus that one party leader called a “systemwide disaster,” American voters and election officials are already looking ahead at the handful of other states and American territories that will be picking — or trying to pick — the Democratic nominee in similar ways."
"693","This film is part of a special Op-Docs series of short documentaries at the 2020 Sundance Film Festival."
"694","Period-related pain, medically known as dysmenorrhea, colloquially often called “cramps,” should not prevent an adolescent from participating fully in school, in sports, in social life. If that’s happening on a regular basis, she needs evaluation and help and support — from her family, and from the medical profession."
"695","While the entry IDAS has primarily been clued collectively to the actress Ida Lupino and the writer Ida Tarbell in the New York Times Crossword, it can also be clued as the Greek mythological character who slew Castor."
"696","The director Reed Morano narrates a car chase scene from her film featuring Blake Lively."
"697","MIAMI GARDENS, Fla. — It was midway through the third quarter of Sunday’s Super Bowl when Patrick Mahomes seemed to realize he needed to take over the game if his flagging Kansas City Chiefs were going to rally to defeat the San Francisco 49ers, whose confidence had noticeably swelled after taking a 3-point lead."
"698","(Want to get this briefing by email? Here’s the sign-up.) "
"699","To the Editor:"
"700","President Trump addressed a divided Congress as his impeachment trial neared its conclusion."
"701","WASHINGTON — Democrats criticized President Trump on Tuesday for seeking to repeal a landmark health care law and presiding over an economy they argue has left working people struggling, in a pair of official responses to his State of the Union address that also issued a searing indictment of his conduct and language."
"702",""
"703","(Want to get this briefing by email? Here’s the sign-up.)"
"704","Democratic candidates tried to spin the chaotic situation at the Iowa caucuses, and campaigned in New Hampshire as they awaited the results."
"705","Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via Spotify | Via Stitcher"
"706","The conservative radio talk show host Rush Limbaugh said on his live show on Monday that he had advanced lung cancer."
"707","An article on Tuesday about the fraught relationship between Gov. Andrew Cuomo and Andy Byford misstated Mr. Byford’s age. He is 54, not 55."
"708","This simplest of smoothies, fairly thick, deliciously tart-sweet and fragrant, makes no claims of enhancing your immune system, ridding your face of wrinkles or saving your marriage. Made with high-quality Alphonso mangoes and Ronnybrook Farm yogurt, this new mango lassi is made by Monsieur Singh — a company founded by Karan Gera, an entrepreneur — with Ronnybrook. Previously, Mr. Gera produced and sold frozen lassi in pints. The new drink is satisfying enough to tide you over when breakfast or lunch are given short shrift. You could sip it alongside a meal, or pour some like an affogato over mango sorbet for dessert. The eight-ounce serving has 160 calories."
"709","No matter what, a box of chocolates still has merit as a Valentine’s Day gift. One option this year comes from the kitchens of Jean-Georges Vongerichten. A box of 12 bonbons (or 24), liberally decorated with hearts and flowers and made from organic single-origin chocolate, is now available to order online for pick up from Feb. 7 to 14 at many of Mr. Vongerichten’s restaurants. Inventive fillings include sesame crunch; toasted corn; vanilla and sour cherry; nougat; and raspberry rose."
"710","“Radiolab,” the popular W.N.Y.C. audio program, has long explored big philosophical questions about the world through investigations about everything from eels to  the legal foundation for the “war on terror.” But for its first serialized story, “The Other Latif,” the show will take listeners to the barbed-wire gates of the prison at Guantánamo Bay to explore legal and ethical quandaries about a detainee."
"711"," Silicon Valley is buzzing over Sheryl Sandberg’s engagement, nearly five years after the death of her husband, Dave Goldberg. (Want this in your inbox each morning? Sign up here.)"
"712","Macy’s, the struggling department store chain, is planning another round of store closings and job cuts."
"713","_________"
"714","House Democratic women donned all-white outfits to celebrate the suffragists during the State of the Union address on Tuesday, in a nod to the 100th anniversary of the ratification of the 19th amendment, which forbade states from denying the right to vote on the basis of sex."
"715","In 1990, I joined Herb’s campaign for South Carolina governor. Herb wanted to overturn the provision in the state constitution that prohibited atheists from holding public office. We met in person, then fell in love via phone and letter during the summer. I worried about telling him my age. When he asked, I said, “Fifty-two. And you?” “Forty-eight.” We lost the election but helped to overturn the law. After we wed, I asked, “What did you think when I told you my age?” He said, “I thought 52 and 48 make 100.” Did I mention he was a mathematics professor? — Sharon Fratepietro"
"716","When Joanna Lau and her husband signed a sales contract for a two-bedroom condo during the conversion of a historic TriBeCa building last year, Ms. Lau, 31, figured that her days as a New York renter would soon come to an end."
