"","response.docs.lead_paragraph"
"2148","LONDON — Britain moved decisively on Wednesday to cushion its economy from the ravages of the coronavirus, as it prepared to toughen a more cautious medical response that had come under fire, particularly after a health minister who had mingled at a reception with Prime Minister Boris Johnson fell ill from the contagion."
"2149","This article is part of our latest special report on Museums, which focuses on the intersection of art and politics."
"2150","FIGHTING WORDS: The Bold American Journalists Who Brought the World Home Between the Wars, by Nancy F. Cott. (Basic, $32.) In the 1920s, with newspapers ascendant and readers curious about the world, the foreign reporter became a swashbuckling archetype. Cott profiles four."
"2151","This article is part of our latest special report on Museums, which focuses on the intersection of art and politics."
"2152","[Update: On Monday, several suburban schools and private universities announced closings.]"
"2153","WASHINGTON — President Trump moved on Monday to address the economic effects of the widening coronavirus crisis by announcing that he would work with Congress on tax cuts and other measures after the worst stock market drop in more than a decade."
"2154","WASHINGTON — The Supreme Court on Wednesday allowed the Trump administration to maintain a program that has forced about 60,000 asylum seekers to wait in Mexico while their requests are heard. An appeals court had blocked the program, saying it was at odds with both federal law and international treaties and was causing “extreme and irreversible harm.”"
"2155","WASHINGTON — Four nations that are among the Trump administration’s top diplomatic adversaries were singled out on Wednesday for rampant human rights violations, raising questions of whether the State Department’s annual review of civil liberties protections worldwide was being politicized."
"2156","Wherever crowds gathered in the flat, lake-dotted swath of Florida between Orlando and Ocala, it seemed that Cheryl Hall was there: clad in red, white and blue, clipboard in hand, signing up new voters at the Mount Dora Arts Festival, the Ocoee Founders’ Day party, the Taste of South Lake fair in Clermont and more."
"2157","[This briefing has ended. For the latest updates on the coronavirus outbreak in the New York Area, read Wednesday’s live coverage.]"
"2158","CAIRO — When tourists in Luxor woke up on Monday to find themselves confined to their hotels or cruise ships on the Nile, it seemed that Egypt was taking extreme measures to confront the coronavirus in the ancient town at the heart of its tourism industry."
"2159","OAKLAND, Calif. — The Grand Princess, the cruise ship stranded for days on the high seas off California, sailed into the Port of Oakland on Monday, met by workers in protective gear who marshaled a large-scale quarantine operation for 21 people on board infected with the coronavirus, along with the thousands of other passengers and crew members."
"2160","MOSCOW — One of Russia’s most influential business magnates on Wednesday said the country has become a “quasi-monarchy” — a sign of how President Vladimir V. Putin’s move this week to clear the way to rule until 2036 has changed the landscape of Russian politics."
"2161","NAIROBI, Kenya — A white female giraffe and her 7-month-old calf, whose rare pigmentation mesmerized wildlife enthusiasts around the world, have been killed by poachers in Kenya, officials said, illustrating the challenges of conservation and the persistent and devastating impact of poaching."
"2162","Imagine if you lived in a place where you couldn’t use Instagram, Snapchat or Facebook on your phone. You couldn’t text your friends. You couldn’t even watch YouTube videos, unless you were watching on a broadband-wired computer. Why? Because you lived in a quiet zone, where Wi-Fi is both unavailable and banned and where cellphone signals are nonexistent."
"2163","As cases of coronavirus infection proliferate around the world and governments take extraordinary measures to limit the spread, there is still a lot of confusion about what exactly the virus does to people’s bodies."
"2164","MBSThe Rise to Power of Mohammed bin SalmanBy Ben Hubbard"
"2165","Hi. Welcome to On Politics, your guide to the day in national politics. I’m Lisa Lerer, your host."
"2166","The coronavirus outbreak is not just an epidemic, it’s also a global pandemic, the World Health Organization declared on Wednesday."
"2167","Worries about the spread of the coronavirus in the U.S. are prompting organizers to cancel sports and cultural events across the country. And they have intruded on the presidential race for the first time: Bernie Sanders and Joe Biden each called off primary-night events scheduled for Tuesday."
"2168","This article was last updated on March 26."
"2169","As the coronavirus continues to spread across the globe and countries continue to tighten their travel restrictions, questions about where it is possible to travel and whether it is wise to do so have become increasingly complicated."
"2170","[This briefing has ended. Read the latest updates on the coronavirus epidemic here.]"
"2171","ATLANTA — The grandest annual exhibition in college sports — the N.C.A.A. men’s and women’s Division I basketball tournaments — will be played without spectators in the arenas as the United States grapples with the spread of the coronavirus."
"2172","TORONTO — The announcement was big enough for Prime Minister Justin Trudeau to fly down to Toronto and deliver. A corporate sibling of Google had been selected to transform a largely abandoned port area in Toronto into an innovative, sensor-laden, tech-centric city of tomorrow."
"2173","A GOOD NEIGHBORHOODBy Therese Anne Fowler"
"2174","This article is part of the Debatable newsletter. You can sign up here to receive it Tuesdays and Thursdays."
"2175","UNCASVILLE, Conn. — No, Geno Auriemma said with customary bluntness, he is not worried about the coronavirus outbreak. And he finds it a bit absurd that teams are being asked to refrain from postgame handshakes after sharing a germ-ridden basketball and sweating all over one another for two hours."
"2176","Pixar’s “Onward” is the No. 1 movie in America. But what if “Contagion” is the No. 1 movie in our psyches? It’s currently way up there on the iTunes movie chart, which means we are paying for Steven Soderbergh’s nine-year-old sign of pandemic life. Covid-19 is upon us, infecting and killing people, compelling quarantine and “social distancing.” Planes are empty. Conferences and tennis tournaments are being scrapped. The new James Bond movie has been wishfully rescheduled for healthier climes."
"2177","At some point last Oct. 1, Russell Bucklew was served a gyro, a smoked brisket sandwich, two portions of fries, a cola and a banana split. We know this because, shortly after he was executed at 6:23 p.m. that day, the Missouri Department of Corrections gave details of the condemned man’s final meal request to a small group of journalists."
"2178","The CNN show “Erin Burnett OutFront” spent much of its time on Friday focused, like many other news programs, on the coronavirus outbreak and the thousands of people isolated on the Grand Princess cruise ship near California."
"2179","MOSCOW — It was always a marriage of convenience, whatever the pledges of devotion, but when Russia and Saudi Arabia parted ways late last week after a dispute over oil production, it was like a lot of breakups: instantly acrimonious."
"2180","Derrick Middleton was walking the streets of Harlem in search of a haircut when he was invited into a shop by a barber. He sat in a chair, and the barber covered him in a white protective cape."
"2181","ROME — Italy got the message."
"2182","In March 2019, doctors in London announced that they had cured a person of H.I.V. — only the second ever to have been freed of the virus. After much deliberation, the “London patient,” as he has become known, told The New York Times that he wanted to reveal his identity and to tell his story."
"2183","For the last three years, two factors have been hugely influential in the oil markets. The first has been the surge of shale oil production in the United States, which has turned the country from a large oil importer to an increasingly important exporter. The second is the alliance between Saudi Arabia and Russia, which recently have cooperated in trimming production to try to counter shale’s impact."
"2184","WASHINGTON — North Korea has evaded United Nations sanctions for many months by exporting coal, sand and petroleum, and importing luxury goods including armored sedans, alcohol and robotic machinery. The findings are based on an upcoming U.N. report, other assessments using satellite images and shipping data, and interviews with analysts."
"2185","Halfway through medical school, I discovered my dad’s age: 66."
"2186","Senator Cory Booker of New Jersey appeared with Biden at Berston Field House in Flint, Mich., on Monday afternoon after endorsing the former vice president that morning."
"2187","In the search for stories that have not been told before, the playwright Celine Song has turned up a good one: The lives of the haenyeos, or sea women, of Korea."
"2188","The Atlanta rapper Lil Baby scored his first No. 1 on Billboard’s album chart this week, with the omnipresent Latin pop star Bad Bunny starting close behind him."
"2189","President Trump, once a fierce critic of vaccines, has become a cheerleader for them during the coronavirus outbreak. Here’s a look at his changing positions."
"2190","Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via Spotify | Via Stitcher"
"2191","What story does this image inspire for you?"
"2192","Italy imposed an unprecedented peacetime lockdown on Sunday that will affect 16 million people across much of the country’s north, as officials reported a more than 50 percent surge in confirmed cases from a day earlier. Here are the latest updates on the virus and a map of where it has spread."
"2193","The Food and Drug Administration said on Monday that it had warned seven companies to stop selling products that claim to cure or prevent the coronavirus, saying such products were a threat to public health because they might prompt consumers to stop or delay appropriate medical treatment."
"2194","WASHINGTON — With the Democratic presidential contest down to a two-person race, Senator Bernie Sanders has declared that he will wield his signature issue, Medicare for all, as a crucial distinction between his campaign and the surging candidacy of former Vice President Joseph R. Biden."
"2195","WASHINGTON — Speaker Nancy Pelosi is preparing to unveil a sweeping plan to lower the cost of health care, moving to address the top concern of voters while giving moderate Democrats who face tough re-election races a way to distance themselves from the Medicare for All plan embraced by the progressive left and derided by Republicans as socialism."
"2196","Pauses are good."
"2197"," [Want to get New York Today by email? Here’s the sign-up.]"
"2198","Facing the threat of the coronavirus, schools around the country are trying a new experiment in distance learning on a mass scale. We followed one family through the experience."
"2199","ALMATY, Kazakhstan — On a recent Friday night, Mitya Koksharov was dancing exuberantly to techno music in a crowded former sauna. The spindly young man in dark-rimmed glasses bent his leg and fell dramatically to the floor — a vogueing move known as a dip, invented decades ago in New York’s underground L.G.B.T. ballroom scene. When he landed and ostentatiously stretched out his arms, the crowd around him screamed in delight."
"2200","The flowers come from all sorts of places: weddings, farmer’s markets, the online florist company UrbanStems, even a first lady’s luncheon. In the truck she calls her “Bloom Mobile 1.0,” Kaifa Anderson-Hall recovers flowers from venues all over the Washington, D.C., area that would otherwise be discarded and gives them a purpose. After being preserved, often for weeks in refrigerators she keeps in the basement of a four-unit apartment building she and her husband own, those flowers take on their second job — in therapeutic activities with seniors, homeless women and people with disabilities around the city."
"2201","Want this in your inbox each morning? Sign up here."
"2202","For a long time, medical researchers were unsure whether Alcoholics Anonymous worked better than other approaches to treating people with alcohol use disorder. In 2006, a review of the evidence concluded we didn’t have enough evidence to judge."
"2203","Former Vice President Joseph R. Biden Jr. addressed a small crowd after scoring primary victories in Missouri, Mississippi and Michigan."
"2204","By all accounts, Marco Abbey is the sort of guy you’d welcome on any trip. He holds doors and hauls suitcases. He has a great sense of direction. He’s game to try different cultural activities."
"2205","It was a concession speech, of a kind: Addressing reporters on Wednesday, Senator Bernie Sanders bowed not to Joseph R. Biden Jr., who trounced him in a second consecutive week of primary elections, but to the reality of his political predicament. Stripped of his briefly held status as the Democratic front-runner, Mr. Sanders acknowledged that he was “losing” to Mr. Biden but stopped short of accepting defeat."
"2206","This article is part of Frank Bruni’s newsletter. You can sign up here to receive it every Wednesday."
"2207","The coronavirus toll has risen to 100,000 infections and 4,000 deaths. With governments imposing lockdowns and travel and border restrictions, sports events worldwide continued to be postponed, canceled or played without spectators."
"2208","Bailouts. Stimulus. Corporate socialism. Welfare for business."
"2209","Just in time for International Women’s Day last Sunday, Agent Provocateur, the British lingerie company founded as a kind of hipper, kinkier Victoria’s Secret, released a new ad campaign."
"2210","Barbara Neely, an unheralded social activist who in her 50s became an award-winning writer of mystery novels centered on a savvy black maid who doubles as an amateur detective, died on March 2 in Philadelphia. She was 78."
"2211","— Iris Bohnet, a behavioral economist and professor at the Harvard Kennedy School"
"2212","ALBANY, N.Y. — In the curious case of New York State’s $6 billion budget gap, Gov. Andrew M. Cuomo has a list of leading suspects: local officials and county staffers, whom he blames for negligently allowing Medicaid costs to skyrocket."
"2213","The mayor of Kansas City, Mo., was turned away from a polling place when he tried to vote in the state’s primary on Tuesday, a development he found frustrating and emblematic of broader problems with the American voting system."
"2214","DEARBORN, Mich. — Everywhere Debbie Dingell stopped over the weekend, she found herself sounding like a Swiss diplomat. “I’m neutral,” she said."
"2215","There’s a new player on the mock-meat front: vegan corned beef. Jenny Goldfarb, a vegan for nearly 10 years whose family was in the Jewish deli business in New York, decided that the taste of a hefty corned beef sandwich or a Reuben should not be on vegans’ no-fly list. She spent months in her kitchen experimenting with wheat, chickpeas, beets, tomatoes, spices, sweeteners and yeast, and finally, in 2018, began introducing the results in Los Angeles. Sarge’s Delicatessen & Diner in New York started serving her Mrs. Goldfarb’s Unreal Deli Corned Beef in January. It’s increasingly sold nationwide. The “meat” approximates the slightly crumbly texture of the real thing fairly well, and delivers its salty, somewhat smoky flavor. (It’s also kosher.) It’s a true departure from the usual burgers and sausages that vegan meat mimics. But what’s missing is the fat, especially for those, like me, who do not prefer lean corned beef. Thus, it’s best in a sandwich dressed with mustard and coleslaw or in a Reuben, in the company of gooey Russian dressing, melting vegan cheese and a moist layer of sauerkraut."
"2216","California state officials said on Tuesday they were ordering a major Christian group to stop offering an alternative to health insurance, joining several states scrutinizing these cost-sharing programs that provide limited coverage."
"2217","I pride myself on creating pantry-staple-focused recipes, vague roadmaps that you can tweak and shuffle based on what you’ve already got — yes, you can use red onions in that shallot pasta — bolstered by vegetables or meat, if you like. My robust, if not chaotic, kitchen reflects that, meaning I can always make dinner even if I haven’t been shopping in ages. (This is not about quarantine or how to prepare for one, but let’s just say that if something like that were to go down, I’d want to live at my house.)"
"2218","You can get your fizz and pucker on at the city’s first fermentation festival, a gathering of foods and drinks that rely on the chemistry of yeasts, molds and bacteria. More than 20 local companies will be on hand with pickles, kombucha, beer, cheese, bread, wine, sake, cured meats, kimchi and, since it’s organized by Brooklyn Cider House, ciders. Products can be sampled and bought."
"2219","The coronavirus has pummeled airlines in the United States, especially in recent weeks, but the industry is prepared to suffer the blows."
"2220","An article on Friday about a temporary disruption in communications between NASA and a robotic probe, Voyager 2, misstated the probe’s distance from Earth. Voyager 2 is more than 11 billion miles from Earth, not 13 billion. (Voyager 1, the spacecraft’s twin, is more than 13 billion miles from Earth.)"
"2221","The current snow-sports season is far from over, but the companies running the popular multiresort passes would like you to start thinking about the next one. Passes from the three main players are now on sale for the 2020-21 season, with incentives to buy early: As time goes on, prices go up and some perks vanish. The renewal discount for the 2020-21 Ikon Pass and Ikon Base Pass, for example, ends on April 22."
"2222","For years, Paul and Nathalie Schulhof scoured the countryside north of New York, searching for a weekend house that could serve as a rural escape from their home in Brooklyn Heights. But after coming close to buying a few homes, they decided to design their own, from scratch."
"2223","Just over a week ago, Michael Burke, the chief executive of Louis Vuitton, stood in the darkened space in Paris where his show — the last of fashion month — was about to take place and noted that, despite all the anxiety over the new coronavirus, there had been very few cancellations. He pointed out that many of the hundreds of people in the room had been traveling together and in enclosed spaces for weeks."
"2224","This article is part of our latest special report on Design, which is about getting personal with customization."
"2225","NEW WAVES By Kevin Nguyen"
"2226","Britain, Australia and Canada have universal health care, and its citizens are mostly happy with it. But getting there wasn’t easy."
"2227","Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via Spotify | Via Stitcher"
"2228","WASHINGTON — North Korea has evaded United Nations sanctions for many months by exporting coal, sand and petroleum, and importing luxury goods including armored sedans, alcohol and robotic machinery. The findings are based on an upcoming U.N. report, other assessments using satellite images and shipping data, and interviews with analysts."
"2229","Halfway through medical school, I discovered my dad’s age: 66."
"2230","Senator Cory Booker of New Jersey appeared with Biden at Berston Field House in Flint, Mich., on Monday afternoon after endorsing the former vice president that morning."
"2231","The Atlanta rapper Lil Baby scored his first No. 1 on Billboard’s album chart this week, with the omnipresent Latin pop star Bad Bunny starting close behind him."
"2232","In the search for stories that have not been told before, the playwright Celine Song has turned up a good one: The lives of the haenyeos, or sea women, of Korea."
"2233","For the latest article from “Beyond the World War II We Know,” a series from The Times that documents lesser-known stories from World War II, The Times spoke to four former B-29 bomber crew members who participated in the firebombings of Japan in spring 1945."
"2234","President Trump, once a fierce critic of vaccines, has become a cheerleader for them during the coronavirus outbreak. Here’s a look at his changing positions."
"2235","I get ready for work and the post has been up for eight hours. While curling my hair, I refresh the page. So far, 224 shares and 875 likes. I put on my black wool suit, refresh again. I dig under the couch for my black flats, refresh. Fasten the gold name tag to my lapel, refresh. Each time, the numbers climb and the comments multiply."
"2236","WASHINGTON — Speaker Nancy Pelosi is preparing to unveil a sweeping plan to lower the cost of health care, moving to address the top concern of voters while giving moderate Democrats who face tough re-election races a way to distance themselves from the Medicare for All plan embraced by the progressive left and derided by Republicans as socialism."
"2237","WASHINGTON — With the Democratic presidential contest down to a two-person race, Senator Bernie Sanders has declared that he will wield his signature issue, Medicare for all, as a crucial distinction between his campaign and the surging candidacy of former Vice President Joseph R. Biden."
"2238","ROME — Where does God self-quarantine during an epidemic? Not in a church, probably. At least not in a church in northern Italy, the center of the largest coronavirus outbreak in a Western country so far. Masses and other religious services, including funerals, have been suspended for weeks there, in keeping with government rulings to curb the contagion. On Sunday, the same day the government announced that the north was going under lockdown, all religious services throughout Italy, including those at mosques and synagogues, were canceled until at least April 3. (On Monday, travel restrictions were extended to the whole country.)"
"2239","“There are a lot of people in the league with LeBron’s body. There’s no one in the league with his brain.”"
"2240","What story does this image inspire for you?"
"2241","For the last three years, two factors have been hugely influential in the oil markets. The first has been the surge of shale oil production in the United States, which has turned the country from a large oil importer to an increasingly important exporter. The second is the alliance between Saudi Arabia and Russia, which recently have cooperated in trimming production to try to counter shale’s impact."
"2242","Biden and his wife, Jill, appeared at the National Constitution Center in Philadelphia after the primary results began to emerge."
"2243","Nearly everything the ceramist and designer Eny Lee Parker makes is meant to offset what she sees as the tedium of domestic architecture. “We have a floor, a neat vertical wall and then a horizontal,” she says. “We live in boxes.” Since receiving her M.F.A. from the Savannah College of Art and Design in 2017, she’s developed an array of distinctive hand-built ceramic furniture and objects, from bouclé- and mohair-upholstered stools to interlocking earrings, with pleasing, curvilinear shapes that look like naturally occurring phenomena. Parker, 30, was born to Korean parents in Brazil, where she roamed the craft stalls of the beach town of Fortaleza. But for her latest collection — a series of 11 lamps, mirrors, stools and side tables titled Internal-izing — she looked past the shoreline to something much smaller: an individual cell."
"2244","ALICE LEMOINE WAS a moody adolescent in 1997 when her parents moved her and her two siblings from an 18th-century house in Bordeaux’s center to a newly constructed Modernist villa designed by the celebrated Dutch architect Rem Koolhaas in a nearby suburb. Too young to appreciate the Brutalist allure of the building, a cantilevered rusted steel box with poured-concrete walls and floors of pale green resin and aluminum, she hated how sound carried between the kids’ upstairs bedrooms. And then there were the passing tour buses, loaded with gawkers trying to catch sight of the architectural masterpiece, which is among the only residential structures that Koolhaas, 75, has ever built."
"2245","Melissa Clark and I were in Toronto over the weekend, eating marvelous fried ocean smelts among about a thousand other things at Brothers on Bay Street, before taking the stage at the Hot Docs festival with the reporter and critic Chris Nuttall-Smith to talk about Melissa’s new book, “Dinner in French.” (We also talked about my new book, “See You on Sunday.” But this story’s about Melissa.) During our discussion, Melissa riffed about a late-night dinner of sardines on baguette, the bread toasted and rubbed with a clove of garlic and plenty of tomato before she lays the fish out across it to eat with a glass of wine. The audience swooned and I got hungry and that’s our no-recipe recipe of the week. Won’t you give it a try?"
"2246","ROME — Italy on Monday became the first European country to announce severe nationwide limits on travel as the government struggled to stem the spread of a coronavirus outbreak that has hobbled the economy, threatened to overwhelm public health care and killed more people than anywhere outside China."
"2247","As hospitals around the country prepare for an influx of highly infectious coronavirus cases, their supplies of a crucial type of respirator mask are dwindling fast."
"2248","WASHINGTON — With multiple lawmakers reporting potential exposure to the coronavirus on Monday, Congress faced difficult questions about whether to curtail its activities in the coming days, a step leaders are resisting even as fears rise."
"2249","For a long time, medical researchers were unsure whether Alcoholics Anonymous worked better than other approaches to treating people with alcohol use disorder. In 2006, a review of the evidence concluded we didn’t have enough evidence to judge."
"2250","It was a concession speech, of a kind: Addressing reporters on Wednesday, Senator Bernie Sanders bowed not to Joseph R. Biden Jr., who trounced him in a second consecutive week of primary elections, but to the reality of his political predicament. Stripped of his briefly held status as the Democratic front-runner, Mr. Sanders acknowledged that he was “losing” to Mr. Biden but stopped short of accepting defeat."
"2251","Former Vice President Joseph R. Biden Jr. addressed a small crowd after scoring primary victories in Missouri, Mississippi and Michigan."
"2252","DEARBORN, Mich. — Everywhere Debbie Dingell stopped over the weekend, she found herself sounding like a Swiss diplomat. “I’m neutral,” she said."
"2253","There’s a new player on the mock-meat front: vegan corned beef. Jenny Goldfarb, a vegan for nearly 10 years whose family was in the Jewish deli business in New York, decided that the taste of a hefty corned beef sandwich or a Reuben should not be on vegans’ no-fly list. She spent months in her kitchen experimenting with wheat, chickpeas, beets, tomatoes, spices, sweeteners and yeast, and finally, in 2018, began introducing the results in Los Angeles. Sarge’s Delicatessen & Diner in New York started serving her Mrs. Goldfarb’s Unreal Deli Corned Beef in January. It’s increasingly sold nationwide. The “meat” approximates the slightly crumbly texture of the real thing fairly well, and delivers its salty, somewhat smoky flavor. (It’s also kosher.) It’s a true departure from the usual burgers and sausages that vegan meat mimics. But what’s missing is the fat, especially for those, like me, who do not prefer lean corned beef. Thus, it’s best in a sandwich dressed with mustard and coleslaw or in a Reuben, in the company of gooey Russian dressing, melting vegan cheese and a moist layer of sauerkraut."
"2254","You can get your fizz and pucker on at the city’s first fermentation festival, a gathering of foods and drinks that rely on the chemistry of yeasts, molds and bacteria. More than 20 local companies will be on hand with pickles, kombucha, beer, cheese, bread, wine, sake, cured meats, kimchi and, since it’s organized by Brooklyn Cider House, ciders. Products can be sampled and bought."
"2255","(Want to get this briefing by email? Here’s the sign-up.)"
"2256","The flowers come from all sorts of places: weddings, farmer’s markets, the online florist company UrbanStems, even a first lady’s luncheon. In the truck she calls her “Bloom Mobile 1.0,” Kaifa Anderson-Hall recovers flowers from venues all over the Washington, D.C., area that would otherwise be discarded and gives them a purpose. After being preserved, often for weeks in refrigerators she keeps in the basement of a four-unit apartment building she and her husband own, those flowers take on their second job — in therapeutic activities with seniors, homeless women and people with disabilities around the city."
"2257","The current snow-sports season is far from over, but the companies running the popular multiresort passes would like you to start thinking about the next one. Passes from the three main players are now on sale for the 2020-21 season, with incentives to buy early: As time goes on, prices go up and some perks vanish. The renewal discount for the 2020-21 Ikon Pass and Ikon Base Pass, for example, ends on April 22."
"2258","ALBANY, N.Y. — In the curious case of New York State’s $6 billion budget gap, Gov. Andrew M. Cuomo has a list of leading suspects: local officials and county staffers, whom he blames for negligently allowing Medicaid costs to skyrocket."
"2259","Everyone wants to be happy, but what serious reader wants to read about happiness? The French author Henry de Montherlant said that “happiness writes in white ink on a white page.” It can’t be captured; not with dignity, anyway. Happy art so often equals kitsch. The poet Edward Hirsch, in response to Montherlant’s edict, once wrote: “I don’t believe that only sorrow/and misery can be written.”"
"2260","“Stairway to Heaven” is an original — no new trial needed."
"2261","An article on Friday about a temporary disruption in communications between NASA and a robotic probe, Voyager 2, misstated the probe’s distance from Earth. Voyager 2 is more than 11 billion miles from Earth, not 13 billion. (Voyager 1, the spacecraft’s twin, is more than 13 billion miles from Earth.)"
"2262","UNCASVILLE, Conn. — No, Geno Auriemma said with customary bluntness, he is not worried about the coronavirus outbreak. And he finds it a bit absurd that teams are being asked to refrain from postgame handshakes after sharing a germ-ridden basketball and sweating all over one another for two hours."
"2263","Pixar’s “Onward” is the No. 1 movie in America. But what if “Contagion” is the No. 1 movie in our psyches? It’s currently way up there on the iTunes movie chart, which means we are paying for Steven Soderbergh’s nine-year-old sign of pandemic life. Covid-19 is upon us, infecting and killing people, compelling quarantine and “social distancing.” Planes are empty. Conferences and tennis tournaments are being scrapped. The new James Bond movie has been wishfully rescheduled for healthier climes."
"2264","On his 12th birthday, my son received a gift from his former nanny. She remembered carefree, preschool afternoons creating skyscrapers out of blocks and T. rexes out of puzzle pieces. The box boasted 1,000 pieces, about 900 more than any I’d seen him complete."
"2265","On his first date with Anita, Billy cooked tuna and noodles — not the suavest choice of entree, especially since he loaded it with mayonnaise."
"2266",""
"2267","In a move intended to give Americans greater control over their medical information, the Trump administration announced broad new rules on Monday that will allow people for the first time to use apps of their choice to retrieve data like their blood test results directly from their health providers."
"2268","This article is part of the Debatable newsletter. You can sign up here to receive it Tuesdays and Thursdays."
"2269","This article includes mild spoilers."
"2270","MOSCOW — It was always a marriage of convenience, whatever the pledges of devotion, but when Russia and Saudi Arabia parted ways late last week after a dispute over oil production, it was like a lot of breakups: instantly acrimonious."
"2271","Derrick Middleton was walking the streets of Harlem in search of a haircut when he was invited into a shop by a barber. He sat in a chair, and the barber covered him in a white protective cape."
"2272","ROME — Italy got the message."
"2273","Dr. Helen Y. Chu, an infectious disease expert in Seattle, knew that the United States did not have much time."
"2274","At some point last Oct. 1, Russell Bucklew was served a gyro, a smoked brisket sandwich, two portions of fries, a cola and a banana split. We know this because, shortly after he was executed at 6:23 p.m. that day, the Missouri Department of Corrections gave details of the condemned man’s final meal request to a small group of journalists."
"2275","The CNN show “Erin Burnett OutFront” spent much of its time on Friday focused, like many other news programs, on the coronavirus outbreak and the thousands of people isolated on the Grand Princess cruise ship near California."
"2276","André Hueston Mack, a sommelier and winemaker, started feeling that the expanding roster of well-made American cured hams was not being given its due. “There are ham bars in Spain and France, but nothing like them in New York,” he said. So he has now become a hammelier and opened his own spot, a sliver of brick walls and mirrors with just 20 seats in Prospect-Lefferts Gardens, Brooklyn, where he lives with his wife, Phoebe Damrosch, a writer and a partner in the restaurant, and their four sons. They have at least 11 American cured heritage-breed hams on the menu. Some are from venerable producers that have been curing hams for 100 years or more, and others are the work of newcomers. Many of the hams are from Kentucky, and some, like the ruddy Dakota, are on a more-or-less exclusive basis. The chef Cesare Casella’s prosciutto from upstate New York also gets its turn on the vintage slicer. Cornmeal madeleines and American cheeses are served, and Mr. Mack limits his wines to American selections. “I have about 320 labels, many from vintages going back to the 1970s and ’80s,” he said. He grew up in Texas, and began his wine career at the French Laundry. He went on to work at Per Se, and left to start making his own wine, which he still does, with Maison Noir Wines, in Oregon. He also runs a wine shop, VyneYard, nearby. In a few months, he plans a retail shop, & Sons Buttery, selling hams, cheeses, condiments and table accessories, next door to the restaurant."
"2277","WEDNESDAY PUZZLE — IMPORTANT ADMINISTRIVIAL ALERT: For those who signed up for the A.C.P.T. and are not on social media, the 2020 tournament has been canceled, possibly to be rescheduled later in the year."
"2278","Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher"
"2279","Here is a growing list of public and private schools, as well as colleges and universities, that have suspended or altered classes in the local effort to curb the outbreak."
"2280","(Want to get this briefing by email? Here’s the sign-up.) "
"2281","OKOLONA, Miss. — Miles from anything like a town and halfway down a dead-end county road lives Mamie Cunningham, 78, a retired schoolteacher, lifelong Mississippian — and die-hard supporter of Senator Bernie Sanders."
"2282","In the days following news reports about how he used his power to sexually assault women, Harvey Weinstein made a desperate plea for help in emails to two dozen influential people, including the billionaires Michael Bloomberg and Jeff Bezos."
"2283","At the very end of “Hillary,” an intimate and revealing four-part Hulu documentary series that tracks Hillary Clinton’s 2016 presidential campaign, Mandy Grunwald, the campaign’s communications adviser, sums up Mrs. Clinton’s career: “As long as she has been in public life there have been these ups and downs. ‘Be our champion, go away.’ ‘Be our path-breaker, go away.’”"
"2284","As more data emerge to explain former Vice President Joe Biden’s stunning victory on Super Tuesday, there are two clear demographics that propelled him: African-American voters and suburban voters with college degrees."
"2285","SEOUL, South Korea — The number of confirmed coronavirus cases in South Korea neared 7,400 on Monday morning. As many of them have been traced back to the mysterious Shincheonji Church of Jesus, the organization has become a lightning rod for the public’s wrath and a ready outlet for longstanding prejudice."
"2286","If South Carolina was make or break for Joe Biden, then so was Michigan for Bernie Sanders. After falling behind Biden in the Super Tuesday primaries last week, Sanders needed Michigan — where he won a stunning upset against Hillary Clinton four years ago — to reinvigorate his campaign and restore its glow of victory in the wake of his Nevada caucus win."
"2287","Bernie Sanders often cites Denmark as the kind of country he would like America to be under his ideology of “democratic socialism.” Well, here’s a news flash: Bernie Sanders, with his hostile attitudes toward free trade, free markets and multinational corporations, probably couldn’t get elected to a municipal council in Denmark today. Ironically, Joe Biden, with his more balanced views on trade, corporations and unions, probably could. And therein lies a column."
"2288","Because my apartment is too small to store the recommended pandemic preparedness supplies without turning the space into an obstacle course, the packages of water, peanut butter, canned soup, granola bars, frozen vegetables, pasta, tomato sauce, Theraflu, DayQuil, and Purell now protrude from under my girlfriend’s dining room table (which is also the kitchen table and living room table) in her slightly bigger place, where I spend half of my weeknights anyway."
"2289","Facing an accelerating spread of Covid-19, Italy and Japan have closed schools to impede the epidemic. Some communities in the United States have done so too, agreeing to significantly disrupt people’s lives on the theory that it will prevent deaths and serious illness."
"2290","Like most Americans who don’t live in the handful of swing states that decide close presidential elections, I’ve watched the pandering, politicking and passion directed at those lucky voters and wondered, what about us? I’m part of the vast electoral desert."
"2291","Joseph R. Biden Jr. took command of the Democratic presidential race in decisive fashion on Tuesday, marshaling a powerful multiracial coalition in the South and the Midwest that swept aside Senator Bernie Sanders and completed Mr. Biden’s rapid transformation from a sometimes-fumbling underdog into his party’s likely nominee."
"2292","Rhythm is central to Ja’Tovia Gary’s “The Giverny Suite” (2019), a nearly 40-minute, three-screen film installation that is the centerpiece of “flesh that needs to be loved,” Ms. Gary’s first show at Paula Cooper."
